,A,Crp,PlaR,ihfB
elyC__delelyC_37C__2,-0.0523862852,0.1650360705,-0.0739882023,0.1174934251
elyC__delelyC_37C__3,0.13319229900000001,0.1449864971,0.0944176307,0.11349563530000001
evo_acid_w__F9_2__1,-0.1636528162,0.45212262210000004,0.1598089504,1.2565419311000001
evo_acid_w__F11_1__1,-0.6133071927,0.0515482653,0.7584629655,-0.8093952846
evo_acid_w__F11_1__2,-0.6474266498,0.1563578091,0.7614599718,-0.5522377374
evo_acid_w__F11_1__3,0.2112911173,0.2851965476,0.7991107695,-0.2151484244
evo_acid_w__wt__1,-0.4645167924,0.1360930215,0.4209355815,-0.1374971984
evo_acid_w__F11_2__1,1.4909631196,0.1526137479,0.7549590047,0.2263643548
evo_acid_w__B11_2__1,0.5815989508,0.7470542054,0.5928769318,0.1338611287
evo_acid_w__F11_2__2,1.5073392041,-0.0330759678,1.047578627,0.2189045622
evo_acid_w__wt__2,-0.1777475024,0.0921125297,0.4174177906,-0.7429114568
evo_acid_w__B11_1__1,0.24459420070000001,0.0459686345,0.09821677720000001,0.0881715998
evo_acid_w__H9_1__1,1.2559206433,-1.7381250601,0.8027397541,-0.8041098849
evo_acid_w__H9_2__1,-0.1524395634,0.1060124781,0.23786009330000002,0.7958109651
evo_acid_w__B11_2__2,0.7820865789,0.7565786075,0.4376123684,-0.0253147293
evo_acid_w__wt__3,-0.8823811505,-0.0206086192,0.3836491274,-0.5291315211000001
evo_acid_w__H9_2__2,-0.1888211038,0.2191212157,0.4215792867,0.861613673
evo_acid_w__B11_2__3,0.7266842918,0.701250519,0.45403700820000004,0.0989163598
evo_acid_w__F11_2__3,2.2079870568,0.0061447768000000005,0.9898696313,0.1265679443
evo_acid_w__F9_2__2,0.0820902667,0.5616911087,0.5047687337,1.226954437
evo_acid_w__wt__4,-0.0061364846,0.2075206627,0.4974617586,0.9211761875000001
evo_acid_w__wt__5,-0.3046357114,0.07605606050000001,0.4166694481,0.9600903644000001
evo_acid_w__wt__6,0.6201922561000001,-0.0229880917,-0.9082735624,-0.823212393
evo_acid_w__H9_1__2,0.9914411305,-1.7211272316000001,0.7384847456,-0.6308114248000001
evo_acid_w__F9_1__1,-0.48303174390000003,0.33539129840000004,0.1419111439,-0.1923440525
evo_acid_w__F9_1__2,-0.11958305420000001,0.37333806010000004,0.1316619432,-6.0176e-05
evo_acid_w__B11_1__2,0.5193672146,0.1027974094,0.3828766416,0.1408796672
evo_acid_w__H9_2__3,0.08410660910000001,0.2542201101,0.45935143840000003,0.8741056694
evo_acid_w__wt__7,-0.2700933614,0.1532453091,0.3727121022,0.7605394983
evo_acid_w__F9_1__3,0.150458117,0.3624937381,0.2019779837,-0.0228632045
evo_acid_w__F9_2__3,0.2439015481,0.5062765036,0.0152040527,1.3315944608999999
evo_acid_w__wt__8,0.7031559541,-0.3269025847,-0.7065858621000001,-0.4763504617
evo_acid_w__B11_1__3,1.5315667425,0.09219357800000001,0.1040544471,0.2004499127
evo_acid_w__wt__9,0.7821627927,-0.2945282879,-0.8939863840000001,0.0672969808
evo_bz__c3_1_bz__1,-0.5696339902,-0.385355987,0.4588029773,0.2288210901
evo_bz__c3_1_bz__2,-1.2010425426,-0.6930073795,-0.1298121354,0.6101915694
evo_bz__c3_1_bz__3,-0.3174128019,-0.7755713976,-0.22674138,0.576618225
evo_bz__c3_1_bz__4,-0.2145192034,-0.6576656106000001,0.09643125400000001,0.6110947582
evo_bz__g5_1_bz__1,-0.48419760380000004,-0.1341736427,0.9448837861,0.5652189377
evo_bz__g5_1_bz__2,-1.6823692528,-0.5635110724,0.8050396562000001,-0.2131127912
evo_bz__g5_1_bz__3,-0.8738509670000001,-0.1045202598,0.7000963925,0.46224616560000004
evo_bz__g5_1_bz__4,-1.1753369047,-0.5514972085000001,0.7293915262,0.5648670378
evo_bz__g5_1_bz__5,-0.34347390450000004,-0.5907591781,0.3958842415,0.2495908246
evo_bz__g5_1_bz__6,-0.8515587735,-0.5379723588,0.5942909141,0.25883636260000004
evo_bz__w3110d13__1,-0.1730924703,0.5884298837,0.3081193926,-0.3371452922
evo_bz__w3110d13__2,0.4443411098,0.5233414408,0.1973337097,-0.4144919876
evo_bz__w3110d13__3,-0.027638626200000002,-0.4463507494,-0.2055911661,0.0859386959
evo_bz__w3110d13__4,-0.0971379292,0.4678437997,0.1655334839,-0.5315682872
evo_bz__w3110d13__5,0.2036510111,-0.7475887920000001,-0.4992673622,0.6184017657
evo_bz__w3110d13__6,-0.3501230951,-0.38567558290000004,0.0338719421,0.5788651053
evo_bz__w3110d13_bz__1,-1.1030412645,-0.31419254,0.6001702263,-0.5625498558
evo_bz__w3110d13_bz__2,-1.0069674129,-0.1236678575,0.9555626151000001,-0.31589760570000003
evo_bz__w3110d13_bz__3,-0.5058454006,-0.7518707576,-0.1896103761,1.1900981018
evo_bz__w3110d13_bz__4,-1.1054696266,-0.10341932470000001,0.5540766827,-0.2427241886
evo_bz__c3_1_bz__5,-0.0070998168,-0.31786441590000003,0.38313391280000003,0.9276404627
evo_bz__c3_1_bz__6,-0.16053783130000002,-0.5855978821,0.6422890682,0.0796417516
evo_bz__g5_2_bz__1,-0.6779273865000001,-0.9927383484000001,-0.0378884607,0.2109846849
evo_bz__g5_2_bz__2,-0.3748357855,-1.0770436531,-0.23014689200000002,0.23533751830000002
evo_bz__g5_2_bz__3,0.38446446770000003,-0.9319843065000001,-0.44323685290000003,0.21035469750000002
evo_bz__g5_2_bz__4,-0.6011626402,-0.3099510565,0.0314567359,0.351986183
evo_bz__g5_2_bz__5,-0.8945519407,-0.5033890871,0.1214988662,0.13782204180000002
evo_bz__g5_2_bz__6,-1.1171646194,-0.43552663960000004,0.5432073352,0.2137416066
evo_bz__w3110d13_bz__5,-0.4994028547,-0.9039885132000001,-0.347602841,1.1509351128
evo_bz__w3110d13_bz__6,-0.6737340969000001,-0.882397812,0.0994724651,1.210246552
evo_bz__a1_1_bz__1,-0.4343688134,-0.1968594431,-0.4693943659,0.9463787208000001
evo_bz__a1_1_bz__2,-1.4966618608,-0.0757624216,0.28192609820000003,0.6894988855
evo_bz__a1_1_bz__3,-1.4035442463,-1.1352115054,0.2627303307,1.0535282181
evo_bz__a1_1_bz__4,-1.9700899823,-0.1630694594,0.09475457570000001,-0.1420939679
evo_bz__a1_1_bz__5,-1.3475612597,-1.1430905682,0.28815103810000003,0.9057751446000001
evo_bz__a1_1_bz__6,-1.4422599619,-1.1479592129,0.0727669143,1.1254304514
evo_metab__wt__1,0.3790103584,0.0216952277,-0.429738536,1.4426827544
evo_metab__del_zwf__1,0.661009611,0.0089552738,-0.07591492600000001,0.6087812218
evo_metab__zwf_ale1__1,-0.3823414477,-0.029136735400000002,-0.9295255811,1.453697321
evo_metab__zwf_ale2__1,0.1773201033,-0.22346250180000002,0.0186085629,1.5126676941000001
evo_metab__del_ppk__1,1.1252878089,-0.5950074874,0.5588899563,1.1758653763
evo_metab__ppk_ale1__1,0.5014742568,-0.2819178846,0.0856717882,0.7068659902000001
evo_metab__ppk_ale2__1,1.0472745106,-0.2129587413,-0.8011396827,2.7404168595
evo_metab__ppk_ale3__1,-0.0857533649,-0.6664505470000001,-0.3502900333,1.4055007212000001
evo_metab__del_dapF__1,1.2718353448,-0.2899666271,-0.6554763644,1.5731943474999999
evo_metab__dapF_ale1__1,0.4232415628,-0.0956451908,-0.6175152618,1.3286870738
evo_metab__dapF_ale3__1,0.0312184832,-0.534902734,-0.3303786145,-0.5334557359000001
evo_metab__del_entC__1,0.020342219800000002,-0.09387450950000001,0.28696477870000003,1.0691534304
evo_metab__entC_ale1__1,-0.4469881227,-0.4795015226,-0.0360628462,-0.2272644741
evo_metab__entC_ale2__1,0.4630851058,0.3381492062,-0.8714092684,1.2407535673
evo_metab__del_dgk__1,0.6911964684,-0.2479411708,-0.0150782947,-0.2811494248
evo_metab__dgk_ale1__1,-0.2562375591,0.1803691418,-0.3373832889,0.3734034026
evo_metab__dgk_ale2__1,-0.3683333498,0.5647813138000001,-0.6699556946,1.0406558945
evo_metab__dgk_ale3__1,0.3487636362,-0.0535453575,-0.3119364482,1.5872047917
evo_metab__wt__2,0.0324929809,0.0598112988,0.18569527800000002,-0.5988409250000001
evo_metab__del_zwf__2,0.0972447748,0.1188856227,-0.0922584528,1.4638075866
evo_metab__zwf_ale1__2,0.1317277932,0.34647646330000004,-0.4489538561,-0.065066414
evo_metab__zwf_ale2__2,0.6356261475,-0.08200134910000001,-0.0710617704,-0.3694768094
evo_metab__del_ppk__2,0.3773627236,-0.1543697162,-0.061138637700000005,-1.3381919271
evo_metab__ppk_ale1__2,0.4525316559,0.5010526678,-0.22602437760000002,-0.3357301543
evo_metab__ppk_ale2__2,0.954505986,0.033069829700000004,-0.738006208,-0.4951080302
evo_metab__ppk_ale3__2,-0.2388066576,-0.1021128979,-0.029047702,-0.4177804027
evo_metab__del_dapF__2,0.1065367856,-0.5275545316,-0.5121214866,0.8912843678
evo_metab__dapF_ale1__2,-0.4811586919,-0.8740408744,-1.3625692848,0.7457290625
evo_metab__dapF_ale3__2,-0.6433429174,-0.6052099843000001,-0.4760806182,0.4106332983
evo_metab__del_entC__2,-0.6231055962000001,-0.520378201,0.020531475400000002,-1.5295929048999999
evo_metab__entC_ale1__2,0.36183215820000003,-0.1808186141,-0.1719086977,-0.42164055240000003
evo_metab__entC_ale2__2,0.1898802763,-0.2481074814,-0.6277404405,-1.8189793688
evo_metab__entC_ale3__1,0.35422360280000004,-0.1007067708,-0.4628584101,-0.6449885269
evo_metab__del_dgk__2,0.4130478059,-0.2493838519,-0.713414266,-1.0202695171
evo_metab__dgk_ale1__2,0.2709177345,0.0934857714,-0.5805069598,-0.4636976262
evo_metab__dgk_ale2__2,0.2657612769,0.0258529291,-0.9639666506000001,-0.0876755152
evo_metab__dgk_ale3__2,0.1990975352,-0.7092992376,-0.6993683979,0.2687374822
evo_metab__wt__3,-0.4115033393,-0.08150652650000001,0.244043258,-0.8438418294000001
evo_metab__del_zwf__3,-0.1439261253,-0.38365261440000004,0.36664557810000004,-0.8046802190000001
evo_metab__zwf_ale1__3,0.5655713158,0.30292598800000003,-0.3853100296,-0.1292274729
evo_metab__zwf_ale2__3,0.3553827319,-0.5695966895,-0.2602010268,-1.3119733839
evo_metab__del_ppk__3,0.5315279084,-0.5088220601,0.4626163559,-1.1567435402
evo_metab__ppk_ale1__3,-0.0951073214,-0.5568547845,0.0843244285,-0.5962353548
evo_metab__ppk_ale2__3,1.4130765281,-0.1075832786,-0.4014455323,-0.42237850050000003
evo_metab__ppk_ale3__3,0.8499946315,-0.2548516616,-0.6378600325,-0.2330364484
evo_metab__del_dapF__3,-0.1219352197,-0.5224634022,-0.4092674214,0.7267281071
evo_metab__dapF_ale1__3,0.5334987546000001,-0.6997337682,-0.870295578,1.633609074
evo_metab__dapF_ale3__3,0.1081160134,-0.164303206,0.156725272,0.5375879140000001
evo_metab__del_entC__3,0.46639043500000005,-0.2838038458,0.0043944188,-1.2151198529
evo_metab__entC_ale1__3,0.5889633145000001,-0.14120318680000002,-0.2327003988,-0.9595485512
evo_metab__entC_ale2__3,0.4306341374,-0.2275315786,-0.4050288285,-0.9363784741000001
evo_metab__entC_ale3__2,-0.5788918884,-0.1971165942,-0.3461340257,-1.1393529857
evo_metab__del_dgk__3,0.1176585911,-0.7030767083,-0.41091256070000004,-1.6868286117
evo_metab__dgk_ale1__3,-0.2903702897,-0.3391076354,-0.4835753893,-1.0194093062
evo_metab__dgk_ale2__3,-1.0740392831,-0.8919006833,-0.7638374228,-2.0533163881
evo_metab__dgk_ale3__3,-0.2506597574,-0.8480468999,-0.7114636077000001,0.1201491622
flag_reg__wt__1,-0.4622160476,-0.0552460372,-0.0791445524,0.16429681270000002
flag_reg__del_fliA__1,1.8961392318999999,0.2379487723,-0.2530014968,-0.015058738600000001
flag_reg__del_flhC__1,0.7504037627,0.1666261772,-0.3776585937,0.1129815054
flag_reg__del_flhD__1,1.2676886782,0.3038599931,-0.284183167,0.1308799863
flag_reg__wt__2,0.4622160476,0.0552460372,0.0791445524,-0.16429681270000002
flag_reg__del_fliA__2,1.0680191906,0.2803346536,-0.3873349703,0.10135033510000001
flag_reg__del_flhC__2,1.3276487476,-0.038816530200000005,-0.060204516000000007,-0.0248447382
flag_reg__del_flhD__2,1.3641728607,0.21736006800000002,-0.5560344052,0.021092889
flgM__27C__1,-1.2831337921000001,0.02870798,-0.0743471809,0.24784995
flgM__27C__2,-1.5082071046,0.0422419746,-0.0644530388,0.1064565189
flgM__27C__3,-1.1416811675,-0.0473495293,0.0391390161,0.005539048
flgM__32C__1,-1.3813577623,-0.1275263066,-0.0603957075,-0.0982544908
flgM__32C__2,-0.9416280644,-0.1188682696,0.1298612821,-0.15643323380000002
flgM__32C__3,-0.8491840912,-0.0775782685,0.14560311410000001,0.0867734718
flgM__37C__1,-0.0781157212,-0.0172228206,-0.037274440400000004,-0.033570588000000005
flgM__37C__2,0.1837875749,-0.0153227698,0.0632792495,-0.057117415000000005
flgM__37C__3,-0.1056718537,0.032545590400000005,-0.0260048091,0.090688003
flgM__42C__1,-0.15133176140000001,0.1223491476,-0.0196650636,0.1092855969
flgM__42C__2,-0.2733650608,0.1974911759,0.10048073040000001,0.1973599473
flgM__42C__3,-1.0207222678,0.2034264775,0.5601775006,0.0520428904
histone__untreated__1,0.4915952938,-0.060392566700000004,-0.1203737733,0.0126545278
histone__untreated__2,-0.2222496002,0.0044704471,-0.043099618400000005,-0.0106326912
histone__untreated__3,-0.2693456936,0.0559221196,0.1634733918,-0.0020218365
histone__10ug_H2A__1,-0.0321355905,-0.0294229657,0.12914503230000002,-0.129348762
histone__10ug_H2A__2,0.2388640036,-0.10860318570000001,0.0071417685,-0.0711125526
histone__10ug_H2A__3,-0.4522719365,-0.1133642725,0.1733730081,-0.0494529187
histone__50ug_H2A__1,0.13604281440000002,0.029688543100000003,-0.2939659234,-0.0136252659
histone__50ug_H2A__2,0.18539041,0.0276315887,-0.013388483500000001,0.040501495900000004
histone__50ug_H2A__3,0.1823487772,-0.0099621376,0.1471021008,0.0660673569
histone__100ug_H2A__1,0.16645462360000002,0.0895954796,-0.1126695738,0.0680506139
histone__100ug_H2A__2,0.3535857781,0.10367688060000001,-0.16284560920000002,0.1463277796
histone__100ug_H2A__3,-0.140453439,0.0034602426000000003,-0.2300368576,0.058645976
hns__del_hns_spike__1,4.193032471,0.2075117463,0.1886549579,0.8947661931
hns__del_hns_spike__2,3.4615607863,0.009730694,0.1683619402,0.8245761367000001
hns__del_hns__1,4.2609255378,0.2850669433,0.283917017,0.9172620950000001
hns__del_hns__2,3.421694596,0.1631970502,0.0944493094,0.4369839626
hns__wt_spike__1,-0.1415402854,0.1392690724,-0.1014330007,0.7686354297
hns__wt_spike__2,1.42176286,0.5908241112,0.2168160137,-0.7693821899000001
hns__wt__1,-0.26273511650000003,0.1104686965,-0.029628108,0.5138647472
hns__wt__2,0.26273511650000003,-0.1104686965,0.029628108,-0.5138647472
hns_stpA__evo100G4_delhns_delstpA__1,13.7819614883,-1.5681109031,-0.4662607415,-2.0371496979
hns_stpA__evo100G4_delhns_delstpA__2,13.4133176784,-1.7787209304,-0.5164791161,-2.2684730482
hns_stpA__evo100G12_delhns_delstpA__1,13.7620175094,-2.3286332422,-0.5459796642,-1.3068979798
hns_stpA__evo100G12_delhns_delstpA__2,13.9379347277,-2.0720734261000002,-0.9197302721,-1.0530082661
hns_stpA__delhns_delstpA_delrpoS__1,15.5697342659,-2.2153905101,-1.1940333611,-1.886946245
hns_stpA__delhns_delstpA_delrpoS__2,14.4061351234,-2.5455493469,-0.3860713598,-2.0984424845
hns_stpA__wt__1,0.9900242741,0.0910120247,0.1581809458,-0.2592372978
hns_stpA__wt__2,-0.9900242741,-0.0910120247,-0.1581809458,0.2592372978
hns_stpA__delhns_delstpA__1,10.9937167529,-2.4304813555,-1.2333571847,-1.4481975116
hns_stpA__delhns_delstpA__2,11.0261633031,-2.283345836,-0.9887479249000001,-1.5487593325
hu__wt_log_pH7__1,0.7241204790000001,-2.5610024343999997,0.9303778446000001,0.5725168552000001
hu__wt_log_pH7__2,-0.5827240209,-1.7192127447,0.8141759444000001,0.5767602426
hu__wt_log_pH7__3,0.2480022425,-2.5656982779,1.1241321031,0.5408314315
hu__wt_lag_pH7__1,0.194703497,0.2181867704,-0.14513882420000002,-0.3724250743
hu__wt_lag_pH7__2,0.7151072871,-0.051637196,-0.5668595879,-0.5506885260000001
hu__wt_lag_pH7__3,-0.9098107841,-0.1665495744,0.7119984121,0.9231136003
hu__delhupA_lag_pH7__1,-0.5517237069,0.5013664708,-0.2072064426,-0.015400114400000001
hu__delhupA_lag_pH7__2,-0.2033953564,-0.0310669673,-0.47084858890000003,-0.1280760356
hu__delhupA_lag_pH7__3,-0.5099022162,-0.0959832862,0.0399146227,0.8585979411
hu__delhupB_lag_pH7__1,-0.2086258555,0.1827632689,-0.0503549623,-0.1118771202
hu__delhupB_lag_pH7__2,-0.1005374763,-0.0362566025,0.013716461400000001,-0.3732720155
hu__delhupB_lag_pH7__3,-0.6112994708,-0.13451388420000002,0.4559323924,0.8058659089
hu__delhupAhupB_lag_pH7__1,-0.0294123223,-0.3668404044,-0.0869100171,0.4054833875
hu__delhupAhupB_lag_pH7__2,-0.8151983264,-0.0648374225,-0.179567751,-0.02338005
hu__delhupAhupB_lag_pH7__3,-0.12183424940000001,0.0483373318,0.38427052370000003,0.9979107099000001
hu__hupAE34K_hupB_lag_pH7__1,-0.5515745781,-0.0097311396,0.1719989875,-0.5737993512
hu__hupAE34K_hupB_lag_pH7__2,-0.5427991889,-0.3293122911,0.09798153350000001,-0.3996532846
hu__hupAE34K_hupB_lag_pH7__3,-1.4342818112,-0.3831059042,0.8184445140000001,0.6080325268
hu__hupAE34K_delhupB_lag_pH7__1,-0.7671355548000001,-0.0190652403,0.185586092,-0.1255185965
hu__hupAE34K_delhupB_lag_pH7__2,-0.2125723858,0.10856884550000001,-0.16673550210000002,-0.7386780321
hu__hupAE34K_delhupB_lag_pH7__3,-1.5461340022,-0.250826488,0.580523625,0.6323031777
hu__wt_lag_pH5__1,-1.5693322813,-0.8913190701,0.640490223,0.41266472940000004
hu__wt_lag_pH5__2,-2.487082337,-1.4459433789,0.6903711582000001,0.5379466454
hu__wt_lag_pH5__3,-2.7377242709000003,-1.4845663116,1.4847250134,0.917368182
hu__delhupA_lag_pH5__1,-1.6372497952,-1.0651718251,0.3677833245,0.714406406
hu__delhupA_lag_pH5__2,-2.1597684561,-0.7987644547,0.3964209682,0.48906684650000004
hu__delhupA_lag_pH5__3,-2.1221601387,-1.2519211603,0.8575182037,1.106647775
hu__delhupAhupB_lag_pH5__1,-1.8393405585,-1.3554675684,-0.30766802730000004,0.8958872998
hu__delhupAhupB_lag_pH5__2,-2.0844334153,-1.3336062681,0.20685849480000001,0.7264677902000001
hu__delhupAhupB_lag_pH5__3,-1.9706821738,-0.8925679957,1.0653093551,1.4966062456
hu__hupAE34K_hupB_lag_pH5__1,-2.1110083683,-1.1430168893000001,1.0635800029,0.4676500039
hu__hupAE34K_hupB_lag_pH5__2,-2.5415290247,-1.4493752758,1.7237365204000001,0.9145932295
hu__hupAE34K_hupB_lag_pH5__3,-2.9839605476,-1.4050641086,1.8383032737,0.8961990470000001
hu__hupAE34K_delhupB_lag_pH5__1,-2.3875690585,-1.6123595908000001,1.4577190274,0.9549122993
hu__hupAE34K_delhupB_lag_pH5__2,-2.3376104768,-1.226893919,1.1243941759,-0.0356378772
hu__hupAE34K_delhupB_lag_pH5__3,-2.4534466087,-1.5448590486,1.6330066566,0.7947546427000001
hyperpersistence__low_GFP__1,2.1589520858,-0.1459188516,-1.4688654270000001,0.6483579828
hyperpersistence__wt__1,0.26568591540000003,-0.0579075359,-0.1328320067,0.1013773724
hyperpersistence__high_GFP__1,2.1265269249,-0.10275380890000001,-1.2446013498,0.7561082961000001
hyperpersistence__pth_mut__1,-0.1410521563,-0.0890509939,-0.0600005897,0.4480533525
hyperpersistence__pth_mut__2,0.9881120772,-0.4156744168,-0.23288015,0.4746197462
hyperpersistence__metG_mut__1,-0.0903824446,0.0988768356,-0.0383218989,0.9323482898000001
hyperpersistence__metG_mut__2,1.3030823993,-0.2628324997,-0.228338439,0.5534249098
hyperpersistence__high_GFP__2,2.4144961002,-0.2208033278,-1.2381613393,1.5819909601000002
hyperpersistence__wt__2,-0.26568591540000003,0.0579075359,0.1328320067,-0.1013773724
hyperpersistence__low_GFP__2,2.0597015859,-0.2805843959,-1.08535042,1.5114326746
kan_efg__cpxAF218Y__1,0.1969584852,1.0841805474,-0.3728916541,-0.22883507590000002
kan_efg__cpxAF218Y__2,0.4425073792,1.1446573046,-0.7651255047000001,-0.16930334090000002
kan_efg__cyaAN600Y__1,0.8631401156,0.9603956705000001,-0.1619783489,-0.0495267151
kan_efg__cyaAN600Y__2,0.5028981575,1.5682706127000001,-0.028307328700000002,-0.1082065834
kan_efg__fusAA608E__1,-0.9344319797,-0.4755092777,-0.3162799086,0.27176167630000003
kan_efg__fusAA608E__2,1.1950060192,-0.1918949817,-0.5234808214000001,0.1478877247
kan_efg__fusAA608E_cpxAF218Y__1,-0.208241267,0.35721379940000003,-0.08958074840000001,0.0989071549
kan_efg__fusAA608E_cpxAF218Y__2,0.3177683938,0.3103341766,-0.3781031641,0.092265601
kan_efg__fusAA608E_cyaAN600Y__1,-0.3595346609,0.8959768911,-0.5205777128,-0.1910441595
kan_efg__fusAA608E_cyaAN600Y__2,0.5248868941,1.151414448,-0.9058785048,-0.2720639669
kan_efg__fusAA608E_rpoDL261Q__1,-0.535565041,0.5787595543,0.057160712100000004,-0.10026415400000001
kan_efg__fusAA608E_rpoDL261Q__2,-1.3360745555,0.170452503,-0.346998894,0.1267075309
kan_efg__fusAA608E_topAS180L__1,-0.8443427622,0.2993918273,-0.3783701208,-0.0752220175
kan_efg__fusAA608E_topAS180L__2,-0.8082987388,0.3449252499,-0.1697109496,-0.1755236102
kan_efg__rpoDL261Q__1,0.5926370439,0.2963526906,-0.2302963009,-0.167099086
kan_efg__rpoDL261Q__2,0.5378527246,0.8750640991,-0.012169311700000001,-0.3144100777
kan_efg__wt__1,-0.0671767887,-0.326898736,-0.1036186427,-0.0172169932
kan_efg__wt__2,0.0671767887,0.326898736,0.1036186427,0.0172169932
lrp__wt_min_log__1,0.19166644,-0.07878716350000001,-0.14850383350000002,-0.093145789
lrp__wt_min_log__2,-0.19166644,0.07878716350000001,0.14850383350000002,0.093145789
lrp__wt_min_trans__1,-0.0300225873,1.2078040582,-0.038914328000000005,0.1545839931
lrp__wt_min_trans__2,-1.1972103905,1.3633198144,0.3490089456,0.5016686799
lrp__wt_min_stat__1,0.3729056434,-2.4304975054,-0.4152711483,0.2930838522
lrp__wt_min_stat__2,1.490130104,-1.9638896553,-0.8231874173,0.4443584974
lrp__wt_liv_log__1,-0.0104468163,0.23973138100000002,0.42891764260000004,0.1499765312
lrp__wt_liv_log__2,-0.3131545183,0.1717381616,0.1918706845,0.0832177955
lrp__wt_liv_trans__1,1.5606366787,0.08582733690000001,-0.1285659313,0.1494158533
lrp__wt_liv_trans__2,2.3156537109,-0.0164337809,-0.21216533840000001,0.0520250297
lrp__wt_liv_stat__1,0.3325577725,-2.9541291327,-1.6006745497,-0.5083392594
lrp__wt_liv_stat__2,0.4279489823,-2.4056994769,-1.2042827922,-0.1052962085
lrp__wt_rich_log__1,0.0634886258,-0.18704894200000002,-0.8913291747000001,-1.060972326
lrp__wt_rich_log__2,0.117144786,-0.1143135745,-0.8333085433,-1.0260900458
lrp__wt_rich_trans__1,1.6494775152,0.1036684385,-0.2109532912,0.5162780332
lrp__wt_rich_trans__2,0.5069491944,-0.5320317657,0.011197066,-0.1665471899
lrp__wt_rich_stat__1,-1.6525314731,-0.33952435410000004,-0.309687492,-0.25053451520000003
lrp__wt_rich_stat__2,3.2727616127,-0.5029284707,-0.9173448069000001,-0.2176500094
lrp__dellrp_min_log__1,-0.43831699430000004,0.051597773300000004,0.32994919110000004,-0.1135008517
lrp__dellrp_min_log__2,0.7778769811,0.1695436772,0.0603888583,-0.1418917681
lrp__dellrp_min_trans__1,-0.6044141975,0.4016716534,0.1479635934,0.8887595407000001
lrp__dellrp_min_trans__2,-0.0657835913,0.0540830645,0.1077449476,0.9354712413
lrp__dellrp_min_stat__1,0.3298192186,-2.4044391384,-0.8146920978000001,-0.114380222
lrp__dellrp_min_stat__2,0.6434680012,-2.2572603749,-0.6318077636,-0.4618928782
lrp__dellrp_liv_log__1,-0.0870885321,0.15715905260000002,0.6251757988000001,-0.1224464358
lrp__dellrp_liv_log__2,-0.2743916639,0.22238625250000002,0.46923396910000004,0.2983490954
lrp__dellrp_liv_trans__1,0.507500661,0.029169605100000003,-0.0683234005,-0.24434000990000002
lrp__dellrp_liv_trans__2,0.3614691559,0.3152681445,0.10945779850000001,0.0135024936
lrp__dellrp_liv_stat__1,0.9473877163000001,-2.3922730427,-0.9832710427,-0.0888189655
lrp__dellrp_liv_stat__2,0.4023600131,-2.1205585644,-0.9329126687,0.0958785737
lrp__dellrp_rich_log__1,0.6404600903000001,-0.14166017990000002,-0.8368281121000001,-1.0485301634
lrp__dellrp_rich_log__2,-0.0699024266,-0.1285585019,-0.7853705375000001,-0.9506783407
lrp__dellrp_rich_trans__1,0.3584871488,-0.41390028040000004,-0.0684486579,0.0092334253
lrp__dellrp_rich_trans__2,0.5094363075,-0.5311079492,-0.2539615136,0.24535617110000002
lrp__dellrp_rich_stat__1,0.0785008938,0.7351458547,-0.3336519694,0.047163355000000004
lrp__dellrp_rich_stat__2,0.164032068,1.4053881684,-0.00167699,0.5261040576
mazF_circuit__t0__1,0.6723313983,-0.004570969,0.0653581261,0.1562382721
mazF_circuit__t2__1,-1.1448079328,0.0653832305,-0.3842425018,0.6331112553
mazF_circuit__t4__1,2.2354501522,0.3822852162,-0.9195050770000001,0.6614788326000001
mazF_circuit__t6__1,0.2148306884,0.21028994880000001,-0.38018988470000004,0.24987335840000002
mazF_circuit__t8__1,-0.6763564924000001,-0.0570535506,0.38802392100000005,0.0917625044
mazF_circuit__t0__2,-0.6723313983,0.004570969,-0.0653581261,-0.1562382721
mazF_circuit__t2__2,-1.3091207507,0.051884897000000006,-0.5493280336,0.0567651034
mazF_circuit__t4__2,0.9005720935,0.3721571684,-0.9133299982,0.7709594122000001
mazF_circuit__t6__2,-0.24752548130000002,0.12152566340000001,0.6811296359,-0.0509849852
mazF_circuit__t8__2,1.2594037465999999,-0.0765298296,0.4120288409,0.0225987589
mazF_ribo__emptyvec_mrna_5m__1,-0.042282542,0.020805030000000002,0.0273903206,-0.0052523366
mazF_ribo__emptyvec_mrna_5m__2,0.042282542,-0.020805030000000002,-0.0273903206,0.0052523366
mazF_ribo__mazF_mrna_5m__1,-0.6191207623,0.16600598560000002,1.2793263378,0.570603653
mazF_ribo__mazF_mrna_5m__2,-0.8410747872000001,0.1916775286,1.4490871856,0.6901759176000001
mazF_ribo__emptyvec_total_5m__1,-0.0746117868,0.46786379100000003,-0.6952582236,1.5424410397
mazF_ribo__emptyvec_total_5m__2,2.3468306932000003,0.5122323806,-0.9455286224,1.5776798909
mazF_ribo__mazF_total_60m__1,1.7594422145,-0.6219598177,-0.4973617321,2.225918038
mazF_ribo__mazF_total_60m__2,1.1184821082,-0.6024762283,-0.40381703560000004,1.9230280871
mercury__ctrl_t00__1,0.0930704837,0.0292773526,-0.1633234988,-0.1894888166
mercury__ctrl_t10__1,-0.36313120860000003,0.3087663784,-0.3311416465,-0.0070085912
mercury__ctrl_t30__1,-0.1717176923,0.7006973645,0.0711637647,0.1387935465
