,A,BetI,ArcA,Cra
elyC__wt_21C__3,2.2054577855,1.2046384172,0.3180135734,-0.0960276958
elyC__wt_37C__1,-0.24306438360000002,-0.22995481280000002,0.08858568750000001,-0.0022998817
elyC__wt_37C__2,0.18266806900000002,0.1361401987,-0.0570708614,0.040383485000000004
elyC__wt_37C__3,0.0603963146,0.093814614,-0.031514826100000004,-0.038083603300000005
elyC__delelyC_21C__1,2.0088676454,1.1706641239,0.3130374735,0.10578371680000001
elyC__delelyC_21C__2,2.5532112207,1.4674940752,0.4191365037,0.2917264067
elyC__delelyC_21C__3,1.9509651171,1.1316375343,0.3197920426,0.1777440115
elyC__delelyC_37C__1,6.97715e-05,0.18723996710000002,0.1251290824,0.009816943600000001
elyC__delelyC_37C__2,-0.0011354027,0.049382334300000004,0.1037722164,0.0028539415
elyC__delelyC_37C__3,0.2404494933,0.1895909168,0.1088100151,0.0076040322
evo_acid_w__F9_2__1,3.1541728179,1.3854472769,0.1425476608,0.217797859
evo_acid_w__F11_1__1,5.2592304162,1.7001812622,-0.4960096405,0.3817420467
evo_acid_w__F11_1__2,5.7754077708,2.1742519334,-0.3588527667,0.0725812748
evo_acid_w__F11_1__3,4.4882519635,2.0305071085,-0.14995993500000002,0.44919307610000003
evo_acid_w__wt__1,2.1048472431,1.6701667036,0.5268494525,-0.0609622073
evo_acid_w__F11_2__1,3.9254857332,1.6218550037,0.3300483652,0.6252667381
evo_acid_w__B11_2__1,2.7916816396,0.9490501686,0.1176002028,1.2889337574
evo_acid_w__F11_2__2,-0.547335625,-0.7408042908,-0.2104390858,0.6075660936
evo_acid_w__wt__2,0.2289807758,0.2275703365,0.0149251139,0.0863890039
evo_acid_w__B11_1__1,-2.513054756,-1.7181782985,0.0050649824,1.7152523092
evo_acid_w__H9_1__1,9.1235298228,3.7186942113,-2.0450412115,-2.0031697105
evo_acid_w__H9_2__1,-0.3287427182,0.1380016879,0.2509442296,0.3546445131
evo_acid_w__B11_2__2,3.1690041586,0.8623382471000001,-0.0192003367,1.39013901
evo_acid_w__wt__3,0.6291585589,0.3323123868,0.1182597891,0.021809976000000002
evo_acid_w__H9_2__2,-0.311359788,0.31248330960000004,0.39856133250000003,0.12475231960000001
evo_acid_w__B11_2__3,2.2986615778,0.5355491486,-0.13303799560000001,1.4450520969
evo_acid_w__F11_2__3,0.44054710340000003,0.0731008766,-0.3410695594,0.8090461283
evo_acid_w__F9_2__2,3.8963136717999998,1.6900717347,0.155742511,-0.09832871280000001
evo_acid_w__wt__4,-0.6552154908000001,0.30375252950000003,0.12230633960000001,-0.20560811410000002
evo_acid_w__wt__5,-0.39265140930000003,0.1847134372,-0.0231116861,-0.0694291011
evo_acid_w__wt__6,-0.7969385032,-1.2943868728,-0.7123728968,0.0506369624
evo_acid_w__H9_1__2,9.3591915503,3.8899610921,-2.0397357955,-2.1001270599
evo_acid_w__F9_1__1,4.7027633607,1.9906406838000001,-0.3836625166,0.5066841750000001
evo_acid_w__F9_1__2,4.6007372912,2.0825362721,-0.4890135682,0.34524607700000004
evo_acid_w__B11_1__2,-2.7651982246999998,-1.3812035605,0.1264931956,1.1038660302
evo_acid_w__H9_2__3,-1.4035876005,-0.4335542542,0.24165958950000002,0.34977235560000003
evo_acid_w__wt__7,0.2533025575,0.5227021026,0.6254806809,-0.11484903540000001
evo_acid_w__F9_1__3,5.3930199682,2.3750798762,-0.3886040764,0.46375516120000004
evo_acid_w__F9_2__3,3.678443067,1.4301168728,0.11163370210000001,0.019701898500000002
evo_acid_w__wt__8,-1.0594447455,-1.2261437593,-0.5679767338,0.28949748670000003
evo_acid_w__B11_1__3,-2.8259912176,-1.5010573494,-0.0194579248,1.2695602862
evo_acid_w__wt__9,-0.3120389865,-0.7206868641,-0.1043600593,0.0025150290000000002
evo_bz__c3_1_bz__1,0.7181578466,1.7258170606,-0.38558688100000005,0.1410654555
evo_bz__c3_1_bz__2,5.058632913,2.6617941918,-0.2343390475,-0.3910279091
evo_bz__c3_1_bz__3,2.3604332029,1.7220621213,-0.1768228467,-0.44154555100000004
evo_bz__c3_1_bz__4,1.2343557682,1.4576160315,-0.1829866169,-0.5611262142
evo_bz__g5_1_bz__1,4.0757960669,3.4949047341,-0.1312277256,-0.3524552037
evo_bz__g5_1_bz__2,-0.1194018461,1.3952604257,-0.6927357911,-0.9056081209
evo_bz__g5_1_bz__3,3.4060912033,2.9125351796,-0.05061829700000001,-0.42057476650000003
evo_bz__g5_1_bz__4,2.2694627221,2.328171996,-0.2321428443,-0.8672213773
evo_bz__g5_1_bz__5,2.5875206350999997,2.425843986,-0.33308463520000003,-0.4427516114
evo_bz__g5_1_bz__6,2.4537450356,2.2999863567,-0.3163096863,-0.7546014759
evo_bz__w3110d13__1,-1.2025184227,-0.6504525953,0.1901686705,0.2453102094
evo_bz__w3110d13__2,-0.8829471413000001,-0.6610995506,-0.058796187400000005,0.2457475705
evo_bz__w3110d13__3,0.8636462057000001,0.5718524529,0.0858430565,-0.1542627521
evo_bz__w3110d13__4,-0.9921960119000001,-0.8687013033000001,0.0028923649,0.0075343704000000004
evo_bz__w3110d13__5,1.9359111062,1.1373100607,-0.1846147007,0.0001936499
evo_bz__w3110d13__6,0.278104264,0.47109093560000004,-0.035493203800000005,-0.3445230481
evo_bz__w3110d13_bz__1,-0.6361286493,1.0014237489,-0.23346584150000002,0.16050459590000002
evo_bz__w3110d13_bz__2,-0.8670460954,0.9476604082000001,-0.1391940875,-0.4633537807
evo_bz__w3110d13_bz__3,2.6796135162,2.3561181389,0.0132220698,-0.6211628684
evo_bz__w3110d13_bz__4,-0.36415245690000003,1.1492219157,-0.15327054480000002,0.1250024662
evo_bz__c3_1_bz__5,0.9365217349,2.1152258692,-0.40193558090000003,-0.2019906604
evo_bz__c3_1_bz__6,0.12579044620000002,1.3670283613,-0.5313746106,-0.17092258500000002
evo_bz__g5_2_bz__1,6.48006288,3.0787519281,-0.6203175706,-0.9988764317000001
evo_bz__g5_2_bz__2,5.9655663585,2.8052336474,-0.6981566933000001,-0.8214510339000001
evo_bz__g5_2_bz__3,4.1179202453,2.0727859886,-0.7595007277,-0.7360847575
evo_bz__g5_2_bz__4,0.1425029116,1.128128084,-0.0372590058,0.3966041554
evo_bz__g5_2_bz__5,-0.1474159136,0.7750768585000001,0.09376858960000001,0.3910926074
evo_bz__g5_2_bz__6,-0.4534795982,1.0754511705,0.0231333739,-0.035026353
evo_bz__w3110d13_bz__5,1.9334692601999999,2.0430711223,0.1127304596,-0.2532313176
evo_bz__w3110d13_bz__6,2.1025775194,2.3214870849,-0.0380817781,-0.8358621076
evo_bz__a1_1_bz__1,5.170032813,2.8498545568,-0.2157053013,0.1310562172
evo_bz__a1_1_bz__2,2.8905822252,1.6251892748999999,-0.4094781025,0.5837345662
evo_bz__a1_1_bz__3,5.8939991447,3.1924548205,-0.1995304755,-0.7926743156
evo_bz__a1_1_bz__4,2.3967505412,1.1248212052,-0.4656880963,1.3401219728
evo_bz__a1_1_bz__5,7.0433139037,3.6395207494,-0.0487554939,-0.5941587655
evo_bz__a1_1_bz__6,5.4149668742,3.0530729822,-0.215019177,-0.7212959865
evo_metab__wt__1,-0.2946756491,0.126354575,1.0693941837,-0.8537273313
evo_metab__del_zwf__1,-0.1312995597,-0.36239901290000004,0.2635843553,-0.5581509644
evo_metab__zwf_ale1__1,0.1843042667,0.0843180506,0.9174621933,-0.4894097088
evo_metab__zwf_ale2__1,1.330076445,0.49388453400000004,-0.1218903694,0.0555135524
evo_metab__del_ppk__1,0.3586298151,-1.1796677073,-0.8918312391000001,-0.0787142445
evo_metab__ppk_ale1__1,0.8477256628000001,-1.0109264043,-0.6881736304,0.1591601426
evo_metab__ppk_ale2__1,-0.1809760065,-0.0407443004,0.7699156984000001,-0.6722701763000001
evo_metab__ppk_ale3__1,-0.7773407479000001,-0.1813600963,0.9700102006,-0.6569091517
evo_metab__del_dapF__1,0.1300766806,0.2898163801,1.0384347552,-0.6965257371
evo_metab__dapF_ale1__1,0.2441266289,0.7382147636,1.1285368322,-0.867810289
evo_metab__dapF_ale3__1,2.2427721637,0.9874604650000001,0.8161619262,-0.2072308356
evo_metab__del_entC__1,2.3564857881,0.49341092550000004,-0.0201403201,-0.0366993311
evo_metab__entC_ale1__1,1.8462620338,-0.0985579574,-0.10491848840000001,0.012245357600000001
evo_metab__entC_ale2__1,-0.1150611076,-0.3503858278,0.7603654310000001,-0.41071263300000005
evo_metab__del_dgk__1,2.1645012597,-0.1119902043,-1.0891380371,0.3169642319
evo_metab__dgk_ale1__1,1.1148734394,0.2110885434,-0.8079639627,0.015997995100000002
evo_metab__dgk_ale2__1,1.9981407602,0.2912534506,-0.6936482731,0.0644254838
evo_metab__dgk_ale3__1,3.0435022898,0.8968961767,0.44997349200000003,-0.3527493064
evo_metab__wt__2,0.9401823127000001,0.0212616827,-0.3344079171,0.11344961220000001
evo_metab__del_zwf__2,2.9819120739000002,1.4139469819000001,0.6810912996,-0.0776861945
evo_metab__zwf_ale1__2,0.2678062537,-0.1933195745,-0.7281520391,-0.3085645329
evo_metab__zwf_ale2__2,0.9539370909,0.0368597553,-1.0546255310000001,0.5362143779
evo_metab__del_ppk__2,0.0669368649,-0.4947642545,-0.8944886509000001,0.2827147237
evo_metab__ppk_ale1__2,-1.911916674,-1.2714188985,-0.7695802995000001,0.1739749676
evo_metab__ppk_ale2__2,-1.3049275814,-1.5629108144,-0.5339921031,0.5552778938
evo_metab__ppk_ale3__2,0.5565289822,-0.405772073,-0.0834480876,0.6973714623
evo_metab__del_dapF__2,2.2351278919,2.0091666812,0.6391570357,-0.29816975030000004
evo_metab__dapF_ale1__2,2.3970091706,2.1220974248,0.9185526292,-0.16488263350000001
evo_metab__dapF_ale3__2,2.5492476629,2.1198744869,0.6901443962,-0.1090022791
evo_metab__del_entC__2,2.28656864,0.500315704,-0.6312365123,0.3859898433
evo_metab__entC_ale1__2,0.3820910315,-0.44597876340000003,-0.6568917332,-0.5205175573
evo_metab__entC_ale2__2,-1.7840306766,-1.3497752167,-1.0174438648,0.3174432465
evo_metab__entC_ale3__1,-2.4368335075,-1.4747086407,-0.6496157627,0.5627784507
evo_metab__del_dgk__2,2.0196711324,-0.10854729910000001,-0.7033841573,0.4923875361
evo_metab__dgk_ale1__2,-0.2961537408,-0.7071928042000001,-0.6182618178,0.3566497402
evo_metab__dgk_ale2__2,1.3826343404,-0.17807654320000002,-0.5516249936000001,0.7956397664
evo_metab__dgk_ale3__2,2.5342179893,-0.0241819674,-0.7842142551,0.3601288832
evo_metab__wt__3,-0.6455066636,-0.1476162577,-0.7349862666,0.7402777192000001
evo_metab__del_zwf__3,3.9086537775,1.2183992844,-0.31267291070000003,0.48647327700000004
evo_metab__zwf_ale1__3,1.5520123142,0.3842208754,-0.4842923424,0.27027891930000003
evo_metab__zwf_ale2__3,1.3717256353,0.3488867698,-1.0148851516,1.101532198
evo_metab__del_ppk__3,-2.1049487578,-0.4765391366,-0.6907153027,0.7309354211
evo_metab__ppk_ale1__3,-3.4305776646,-1.4551826598,-0.5100728839,0.7472775657
evo_metab__ppk_ale2__3,-0.2770678726,-1.1398661222,-0.3755575815,0.8744017874000001
evo_metab__ppk_ale3__3,-1.268567564,-1.2037456547,-0.2196301371,0.745558492
evo_metab__del_dapF__3,2.9319106365,2.31930023,0.4059186527,-0.047413801000000005
evo_metab__dapF_ale1__3,2.6205828407,2.1977690546,0.6795316201,-0.1801907724
evo_metab__dapF_ale3__3,3.5736521453,2.5540290375,0.5180514967000001,0.1621832389
evo_metab__del_entC__3,2.3001922182,0.3314380886,-0.5719402797,0.0343100946
evo_metab__entC_ale1__3,-0.0488487087,-0.1344179457,-1.1732918553,0.3322543509
evo_metab__entC_ale2__3,-2.0328926389,-0.8103702026,-0.7755120344,0.8075245937000001
evo_metab__entC_ale3__2,2.7276024254999998,0.6041863776,-0.5555756714,0.8193045941
evo_metab__del_dgk__3,2.0293009788,0.2789691051,-1.0030252318,0.7120229640000001
evo_metab__dgk_ale1__3,0.6485911856000001,0.1824090975,-0.5831005596000001,0.8730704559
evo_metab__dgk_ale2__3,0.4282737659,0.1353120176,-0.9335797538,1.301894215
evo_metab__dgk_ale3__3,2.1934710629,0.29429374610000003,-0.8369083792,0.42012269210000003
flag_reg__wt__1,-0.32074300170000003,-0.20965877800000002,-0.0588099996,-0.1895340584
flag_reg__del_fliA__1,1.6997594527,0.6230714605000001,0.0707141134,0.153080733
flag_reg__del_flhC__1,2.4376825076,0.8480103501,0.0792301926,0.3677356986
flag_reg__del_flhD__1,2.2488488382,0.9936352905,0.1165178999,0.20934616350000002
flag_reg__wt__2,0.32074300170000003,0.20965877800000002,0.0588099996,0.1895340584
flag_reg__del_fliA__2,2.098724787,0.8997817478000001,0.1391146988,0.2349933388
flag_reg__del_flhC__2,0.3972616074,0.1643258061,-0.2406300043,-0.30974919160000003
flag_reg__del_flhD__2,2.4115891339,0.9277985817000001,0.09393124500000001,0.3322552634
flgM__27C__1,-1.3853661955,0.1956486844,0.8784288994,-0.9568080187
flgM__27C__2,-0.030786852200000003,0.1085429341,0.7269323781,-0.9676118753
flgM__27C__3,-0.2362582635,0.0275006047,0.7669138366,-1.0099299057
flgM__32C__1,-0.3569337085,0.0486771518,0.3543791704,-0.4600895052
flgM__32C__2,-1.008206702,-0.0215778908,0.6126265213000001,-0.46340290570000003
flgM__32C__3,-1.4592279547,0.1037232544,0.7204335675,-0.5932001555
flgM__37C__1,0.0410772461,0.0048086525,0.0023349412,-0.0431349533
flgM__37C__2,-0.0393887568,0.0679140985,0.0138897402,0.0100351717
flgM__37C__3,-0.0016884893000000002,-0.07272275090000001,-0.0162246814,0.0330997816
flgM__42C__1,2.5019436149,0.6524146227000001,-0.5224664074,0.7607520602000001
flgM__42C__2,3.1969826139,0.9088646435000001,-0.5060912851,0.848878765
flgM__42C__3,3.8631553421,1.8977815448,-0.2103690696,0.5210592231
histone__untreated__1,-0.0639422063,0.1261596807,-0.0026986212,-0.216800287
histone__untreated__2,-0.4039784081,-0.24348404880000002,0.0232666232,0.2673721395
histone__untreated__3,0.4679206144,0.1173243681,-0.0205680019,-0.0505718525
histone__10ug_H2A__1,0.6674925568,0.2210598394,-0.0248110193,-0.1657855262
histone__10ug_H2A__2,0.2205835561,0.17100523280000002,-0.0365080084,0.0558414491
histone__10ug_H2A__3,0.9091794017,0.3920619494,0.10535953910000001,-0.149255529
histone__50ug_H2A__1,0.5782388985,0.1402364698,0.2585635182,-0.3121806988
histone__50ug_H2A__2,0.7269034347000001,0.2541207908,0.303827907,-0.2982454419
histone__50ug_H2A__3,0.3387255099,0.0637245951,0.24080459610000002,-0.2805224475
histone__100ug_H2A__1,0.636244875,0.1439798518,0.2868203253,-0.1825965015
histone__100ug_H2A__2,0.7678615081,0.2248055968,0.2959739772,-0.1968644844
histone__100ug_H2A__3,0.7693357281000001,0.3339447272,0.24580874260000002,-0.13727567940000002
hns__del_hns_spike__1,-2.9764968393,-0.8639676298000001,0.9327413782,0.11390770330000001
hns__del_hns_spike__2,-3.2669419426,-2.0074555638,0.9261506939,0.1873961184
hns__del_hns__1,-3.1598667045,-1.0051167489,1.0687949022,0.0168979536
hns__del_hns__2,-3.7176749299000003,-2.0300173977,0.5925125441,0.45957792270000003
hns__wt_spike__1,0.2235049076,0.1201585594,0.191028469,-0.5553368521000001
hns__wt_spike__2,1.9841867266,0.8126292869,0.0868822129,1.5354335179
hns__wt__1,0.1536499235,0.0614016728,0.12093167490000001,-0.3400196666
hns__wt__2,-0.1536499235,-0.0614016728,-0.12093167490000001,0.3400196666
hns_stpA__evo100G4_delhns_delstpA__1,0.7356666821000001,-1.2507211514,-1.0591036869,-0.965519541
hns_stpA__evo100G4_delhns_delstpA__2,0.7951736306,-0.9581044899000001,-1.0120794948,-1.1416494558
hns_stpA__evo100G12_delhns_delstpA__1,-3.3271136308,-3.117839489,-1.4965225604,-0.8614623277000001
hns_stpA__evo100G12_delhns_delstpA__2,-3.6242256825,-2.7214087775999998,-1.193941523,-1.1799050635000001
hns_stpA__delhns_delstpA_delrpoS__1,-3.7146312197,-2.7818757784,-1.4967474998,-0.8568152088000001
hns_stpA__delhns_delstpA_delrpoS__2,-4.495331813,-3.6507891003,-1.8797889081,-1.2488999172
hns_stpA__wt__1,0.3772187355,0.2663361892,0.0614368063,0.3037840317
hns_stpA__wt__2,-0.3772187355,-0.2663361892,-0.0614368063,-0.3037840317
hns_stpA__delhns_delstpA__1,-1.7370478595,-2.9650401521000003,-1.2240719898,-2.9306335603
hns_stpA__delhns_delstpA__2,-1.500779297,-2.7380346444,-0.9646090827,-2.4810304921
hu__wt_log_pH7__1,0.6846091153,0.8154529102,-2.3862196642,-1.1343475535
hu__wt_log_pH7__2,0.37876944030000004,0.7693740796,-1.2660276597,-0.745303582
hu__wt_log_pH7__3,0.3948620561,1.1961947956,-2.3724224758,-0.8684320375000001
hu__wt_lag_pH7__1,0.5780150545,0.221559097,0.011139977700000001,-0.1286148301
hu__wt_lag_pH7__2,1.6300594923,0.8971885938,-0.2115586693,-0.8133276643
hu__wt_lag_pH7__3,-2.2080745467,-1.1187476908,0.2004186917,0.9419424944
hu__delhupA_lag_pH7__1,1.686143301,0.5458195952,0.2432724134,0.2687126539
hu__delhupA_lag_pH7__2,2.4168816783000002,1.3156189005,-0.25783494830000003,-0.7678659126
hu__delhupA_lag_pH7__3,-1.1795059763,-1.087993944,0.27401214690000003,0.6197851686
hu__delhupB_lag_pH7__1,-0.3752775092,-0.3917876947,0.043676152100000004,-0.7257333649000001
hu__delhupB_lag_pH7__2,1.4112700243,0.7771480134000001,-0.2864002101,-0.9063900389
hu__delhupB_lag_pH7__3,-1.2251018136,-0.7906026742000001,-0.1341877166,0.5474014037
hu__delhupAhupB_lag_pH7__1,3.0354631202,0.9496961908,-0.5771907675,0.5672649508000001
hu__delhupAhupB_lag_pH7__2,2.4200401711,1.3174321242,-0.5073577501000001,-0.14745600050000002
hu__delhupAhupB_lag_pH7__3,1.2103675147,0.4473166716,-0.7561764232,0.798751953
hu__hupAE34K_hupB_lag_pH7__1,0.7306714311,0.4078696585,-0.139486361,-0.048757564
hu__hupAE34K_hupB_lag_pH7__2,3.1194014131,1.7284779855,-0.7649544516,-0.5341879819
hu__hupAE34K_hupB_lag_pH7__3,-1.3849991329,-0.7496684174,-0.2798375699,0.3887646153
hu__hupAE34K_delhupB_lag_pH7__1,0.5203041627,0.1303514097,-0.3225539216,0.021528378600000002
hu__hupAE34K_delhupB_lag_pH7__2,2.5149657532000003,1.100671063,-0.3566598492,-0.46063201200000004
hu__hupAE34K_delhupB_lag_pH7__3,-1.1708795213,-0.36639442520000004,-0.16903673660000001,0.5577970553
hu__wt_lag_pH5__1,5.4684078787,3.2235471044,-1.0507190625,-0.47915796060000004
hu__wt_lag_pH5__2,6.1086043874,3.9145749756,-1.3019793658,-0.4242198553
hu__wt_lag_pH5__3,3.9340351755,2.9073530401000003,-1.200284001,-0.4408909259
hu__delhupA_lag_pH5__1,5.7378868819,3.0872209731,-0.692848533,-0.7986508937
hu__delhupA_lag_pH5__2,6.384974196,3.4684893053,-0.721131519,-0.23109035
hu__delhupA_lag_pH5__3,3.7391993277999998,2.8828238341,-1.1946762861,-0.4984742653
hu__delhupAhupB_lag_pH5__1,5.8035102367,2.9957846189,-1.1387573988,-0.7412924465
hu__delhupAhupB_lag_pH5__2,7.1195051852,3.6544679363,-1.0754994254,-0.32567890390000004
hu__delhupAhupB_lag_pH5__3,4.671564025,3.1934374379,-1.1412931212,-0.1433465964
hu__hupAE34K_hupB_lag_pH5__1,5.1267075978,3.1713609156,-1.3610413978,-0.5727036634
hu__hupAE34K_hupB_lag_pH5__2,3.9292221357,3.2408333551,-1.2445931649,-0.06640882050000001
hu__hupAE34K_hupB_lag_pH5__3,3.5205392024,3.0113765985,-1.0844773372,-0.0988652604
hu__hupAE34K_delhupB_lag_pH5__1,3.7997302612,3.0823847717,-1.2057146664,-0.2921015008
hu__hupAE34K_delhupB_lag_pH5__2,7.5970426907,4.3002055613,-1.1663520224,-0.23103725800000002
hu__hupAE34K_delhupB_lag_pH5__3,3.3624430627,2.9540055899,-1.3199865412,-0.4034763851
hyperpersistence__low_GFP__1,-0.6821023311000001,-1.2568913662,1.3487612159,-0.8134585722000001
hyperpersistence__wt__1,0.0215050728,-0.1446490107,-0.1205748881,-0.15458974220000002
hyperpersistence__high_GFP__1,-0.12551516540000002,-0.5355411034,1.3799665865000001,-1.0411310568
hyperpersistence__pth_mut__1,2.0231483806,0.9915333826,0.3409236023,-0.1568155477
hyperpersistence__pth_mut__2,2.2033721247,1.1516744241,0.21495707700000002,-0.2971344521
hyperpersistence__metG_mut__1,1.9705461948,1.2093077799,0.5988323535,-0.1844494213
hyperpersistence__metG_mut__2,0.9697961537,0.6459170573,0.17335244460000002,-0.3766773225
hyperpersistence__high_GFP__2,-0.6830232317,-0.7499792663,1.1378923818,-0.9073723469
hyperpersistence__wt__2,-0.0215050728,0.1446490107,0.1205748881,0.15458974220000002
hyperpersistence__low_GFP__2,-1.5522373005999999,-1.3184882863,1.0703387567,-1.1203611161
kan_efg__cpxAF218Y__1,-2.0971023164,-1.459493175,0.9847594599,1.2763301475
kan_efg__cpxAF218Y__2,-2.1753553678,-0.7244245979,1.0641314952,1.5518422955
kan_efg__cyaAN600Y__1,0.8016121723,0.3998930153,0.4470775843,0.7051289762
kan_efg__cyaAN600Y__2,2.5731932677,1.0633995357,0.9888960972,1.7200493047
kan_efg__fusAA608E__1,2.4554955793,1.0265828385,-0.3516493636,-0.13141419940000001
kan_efg__fusAA608E__2,1.6088029389,0.9773209755000001,-0.0888831399,-0.2414090268
kan_efg__fusAA608E_cpxAF218Y__1,-1.6721902596,-0.5219859029,0.6470682595,0.6210753481
kan_efg__fusAA608E_cpxAF218Y__2,0.6831848294,-0.4526644081,0.5005750261,0.5507871298
kan_efg__fusAA608E_cyaAN600Y__1,-0.0589501887,-0.0724274577,0.44943581320000003,0.4600576756
kan_efg__fusAA608E_cyaAN600Y__2,-0.1043075891,-0.4133189901,0.6363389736,0.5858702455
kan_efg__fusAA608E_rpoDL261Q__1,-0.33058136450000003,-0.1620340421,0.5226066503,0.7626308654
kan_efg__fusAA608E_rpoDL261Q__2,1.5585557559,0.9906565658,0.2223851306,0.12262653920000001
kan_efg__fusAA608E_topAS180L__1,-0.9023234617,0.34420428810000003,0.0892295235,1.9881627285
kan_efg__fusAA608E_topAS180L__2,0.2594981166,1.0198802704,0.2306965681,2.1931153397
kan_efg__rpoDL261Q__1,-0.2619547531,0.1757791336,0.2943102145,0.4856786449
kan_efg__rpoDL261Q__2,-0.6897032773,-0.174599213,0.5272311071,0.7669822615
kan_efg__wt__1,-0.1841208117,0.0630384658,-0.11984394920000001,-0.2521839124
kan_efg__wt__2,0.1841208117,-0.0630384658,0.11984394920000001,0.2521839124
lrp__wt_min_log__1,0.031448208400000004,0.11625260720000001,-0.0676967451,-0.0605792777
lrp__wt_min_log__2,-0.031448208400000004,-0.11625260720000001,0.0676967451,0.0605792777
lrp__wt_min_trans__1,1.2613577537,1.8451564208,0.1233067759,0.2948835343
lrp__wt_min_trans__2,0.81959476,0.7423844107,0.20364527300000002,0.8609545578000001
lrp__wt_min_stat__1,-5.46738274,-0.7906572315,1.6182345706999999,-1.1863394348
lrp__wt_min_stat__2,-5.705233892,-0.5874796424000001,1.594982006,-0.9082664866
lrp__wt_liv_log__1,0.5626026043,0.4973132528,0.0672035128,-0.06662269800000001
lrp__wt_liv_log__2,0.3267411867,0.2320701508,-0.0222688136,-0.2838553941
lrp__wt_liv_trans__1,-4.5971753948,-2.4906525667,0.0424268426,0.7321625501
lrp__wt_liv_trans__2,-4.2363408062,-1.883049448,-0.3133300406,0.6851959435
lrp__wt_liv_stat__1,-2.8234279729000002,-0.0672093257,1.5958580575,-1.3965703528
lrp__wt_liv_stat__2,-3.4442020616,0.3846466161,1.7177042546,-1.317922929
lrp__wt_rich_log__1,3.4287535482,-0.5879231254,-1.0287892827,-1.104683767
lrp__wt_rich_log__2,3.9427980448,-0.5600887781,-1.0047560455,-1.2546926981
lrp__wt_rich_trans__1,-4.5268078241000005,-3.1940584796,0.3254800541,-0.1032883054
lrp__wt_rich_trans__2,-4.601543883,-2.6919187873,0.1120321633,-0.1602192955
lrp__wt_rich_stat__1,-4.0898077858,-0.836607995,0.4894026192,-0.030563167500000002
lrp__wt_rich_stat__2,-1.4181316083,0.5778470097,0.6397665666,-0.045479457
lrp__dellrp_min_log__1,0.1557727223,0.4612332726,-0.0407208341,-0.2876364708
lrp__dellrp_min_log__2,0.8180937193000001,0.2862855421,-0.014845037,-0.3919699821
lrp__dellrp_min_trans__1,-0.9882841879,-0.8129053806000001,0.5397192637,-0.0756674972
lrp__dellrp_min_trans__2,0.2449012352,0.3395911901,0.48378118270000003,-0.1685223861
lrp__dellrp_min_stat__1,-6.0126097243,-0.7976969807000001,1.3182395307,-1.7743965943000002
lrp__dellrp_min_stat__2,-5.5181658016,-0.5804887516,1.3320724377,-1.5057214365
lrp__dellrp_liv_log__1,0.5703357077,0.5774534782,0.4198393247,-0.4013139988
lrp__dellrp_liv_log__2,-0.1943078393,0.3292737253,0.5218605334,-0.3582488616
lrp__dellrp_liv_trans__1,-3.6669901249,-2.2094190678,-0.12638412400000001,0.33721073900000004
lrp__dellrp_liv_trans__2,-4.081976628,-2.0448739389,-0.1359480794,0.20826187340000002
lrp__dellrp_liv_stat__1,-3.1751089059,0.5603524974,1.2536283473,-1.5433322065000001
lrp__dellrp_liv_stat__2,-3.7990703192,0.2934237343,1.4218786994000001,-1.3081320442
lrp__dellrp_rich_log__1,4.5286857794,0.0934583009,-0.7977188794000001,-1.1285112896
lrp__dellrp_rich_log__2,4.3740086002,0.0859654596,-0.7443303324,-1.1969005227
lrp__dellrp_rich_trans__1,-2.7001739667,-1.3987684849,0.7261719226000001,0.0065009034
lrp__dellrp_rich_trans__2,-3.2457445761,-1.6089537165999999,0.8865826679000001,-0.0929676374
lrp__dellrp_rich_stat__1,0.5682076811,0.1792916877,-0.9243434027,-0.5564313898000001
lrp__dellrp_rich_stat__2,1.4968088558,0.6804082595000001,-0.4780419603,-0.2266175615
mazF_circuit__t0__1,0.2233921332,-0.007252720900000001,-0.0418893319,-0.1477545398
mazF_circuit__t2__1,-1.9548308150000002,-0.2719763733,0.3591658249,-0.43275175790000003
mazF_circuit__t4__1,-2.2042398502,-0.3421508307,-0.8304810236,0.1479863207
mazF_circuit__t6__1,-0.017868548,-0.1124465567,-0.9492480625,-0.2443604499
mazF_circuit__t8__1,0.6336237203,1.0249768838,-0.7195329218000001,-0.8080377215000001
mazF_circuit__t0__2,-0.2233921332,0.007252720900000001,0.0418893319,0.1477545398
mazF_circuit__t2__2,0.0996958634,-0.5206088036000001,0.36484522820000004,0.0461749848
mazF_circuit__t4__2,-1.5488084283,-1.2775124353,-0.2926059744,-0.0514301256
mazF_circuit__t6__2,-1.6369414966,0.9782049947,-0.96780511,-0.5199344295
mazF_circuit__t8__2,0.8768034147,0.4081935243,-0.8880264464000001,-0.6797673496000001
mazF_ribo__emptyvec_mrna_5m__1,-0.038833458,-0.0501906337,-0.0702595117,-0.12346562080000001
mazF_ribo__emptyvec_mrna_5m__2,0.038833458,0.0501906337,0.0702595117,0.12346562080000001
mazF_ribo__mazF_mrna_5m__1,0.2833354752,0.1419406584,0.9398787361000001,-1.1624552896
mazF_ribo__mazF_mrna_5m__2,0.5117657312,0.3153927743,0.8303069123,-1.4364844985
mazF_ribo__emptyvec_total_5m__1,1.2819224022,0.3275398908,0.946656288,-0.4126939052
mazF_ribo__emptyvec_total_5m__2,1.5530570702,0.19446247930000002,1.1842926666,-0.1829286654
