,A,CsgD,MlrA,ihfB,FliZ,CpxR,hns,MqsA,RstA,BtsR,OmpR,BasR,rcsB,Crp,RcdA,Cra
opex__ippoh_amp__2,0.5323397089,0.7202943503,-0.8050682686,-0.09502500230000001,-1.9684241114,0.4333633329,0.23403409900000002,-1.0629430203,0.0866164304,1.7717131987,0.8495742004,0.24803189890000002,0.5577711161000001,0.31661900600000004,-0.1401580979,0.3559413354
opex__ippoh_amp__3,0.8225672305,0.6847601720000001,-0.6618917842,-0.18667030380000002,-1.5803669973,0.2474938083,0.1986199246,-1.2777200232,0.174307124,1.5118761297,0.7793969988,0.28572629180000003,0.49244848,0.2924930122,-0.5176892948,0.5011152258
opex__ippoh_kan__1,-0.24657352370000002,0.4480689316,-1.2303227324,-0.1944902533,-2.3517490781,0.2532359246,0.3181546269,-0.7874497477,-0.091700655,2.0290151918,0.6580057431,0.2282925762,0.5241611474,0.20629760900000002,-1.0015496245,0.3775755541
opex__ippoh_kan__2,-0.3564460821,0.5057983411,-1.3368224398000002,-0.2096595363,-1.448533263,0.1221697615,0.0801747591,-1.0552669809,0.3023498082,2.1051564462,0.6987502994,0.6505958894,0.4749162343,0.1434163886,0.5275901528,0.5068639618
opex__ippoh_kan__3,0.6159634223,0.7329716526000001,-1.2978140776,-0.2387935954,-2.5286277343,0.2819060152,0.3722988598,-1.1089178495,-0.0450711746,1.4762657684,0.7496683784,-0.1653031221,0.46027849860000003,0.1449923987,-0.23890437720000002,0.49035703500000005
opex__ippoh_nor__1,0.20938026310000002,0.6552034942,-1.196124735,-0.1382739704,-1.7836968185000002,0.3208234544,0.1531078529,-0.8223113818000001,0.3201514459,2.0253101153,0.840577585,0.2417116154,0.47074579780000003,0.2342972617,0.272353713,0.5905879261
opex__ippoh_nor__2,1.1662062681,0.6129969853,-0.9430219592,-0.16827474750000002,-2.1065086882,0.1894442928,0.1616919281,-0.8735722288000001,-0.0447765113,2.1347070823,0.9597160879000001,0.2680273165,0.42215797120000004,0.1925245619,-0.5786407234000001,0.47295478420000003
opex__ippoh_nor__3,-1.2321704631000001,0.9860505487000001,-0.8375937054,-0.2240580181,-1.2384126042,0.22499267950000001,0.2330778296,-0.7839250042,0.1922306625,2.3212672483,0.6909897604,1.0918371634,0.5110602234,0.290042195,1.7689537190000002,0.3270453648
opex__ippoh_rif__1,-3.4145036786,-1.299494736,-1.3248198614,0.0802453139,-2.2665568527,-0.0244287358,-0.18665445020000002,-0.9832711684000001,-0.5597547948,1.3103918483,0.9632141438,-0.2832051739,0.24242396930000001,-0.2225034427,-0.6458650242,-0.3212800536
opex__ippoh_rif__2,-3.4865057712,-1.1725679939,-1.6007814261000002,-0.1183887934,-1.9415777967,-0.3141428743,-0.28238213830000003,-1.0578336687,-0.3151886038,1.2279591713,0.9656498741,-0.3682454496,0.15016193760000002,-0.3319244188,-0.9006603581,-0.1667810023
opex__ippoh_rif__3,-3.3988434635,-1.2585047098,-1.9614742887,-0.025469672800000002,-1.2514122286,-0.06603580790000001,-0.1079892533,-1.3140297717,-0.6460549705,1.4474650859,0.7902346647,-0.16792021810000002,0.1787729284,-0.2142957861,-1.2604386981,-0.1457684514
opex__kan__1,-0.3997200392,-0.1837231953,0.1741279044,0.160108622,-0.4395085219,0.0119340617,0.2543907398,0.0258226548,0.5607273143,0.2507055764,0.1434671193,-0.0837003027,-0.1241833163,-0.0727186524,0.2755875036,-0.0871140761
opex__kan__2,-0.5493785594,-0.0339925187,0.11540272750000001,0.0913786652,-0.4282584385,0.0408055141,-0.17114525700000002,0.1512743736,0.3656827335,0.3284550482,0.1361987875,-0.0655278447,-0.0857149784,-0.1325552437,0.49727560270000004,-0.071092812
opex__kan__3,0.0568112303,-0.0623064872,-0.2373135314,0.08713161330000001,0.3047072101,-0.037203106,-0.3543453272,-0.1574088605,0.3166779618,0.1240213872,0.1915192563,0.0233351799,0.0156338351,-0.0093774403,0.5106448686,-0.149400481
opex__nor__1,-0.21860770710000002,-0.06192555500000001,-0.24976912,-0.14171233730000002,-0.394174681,0.14256862550000002,-0.7699430129,0.0248631901,-0.0021413969,0.17380247810000002,0.1558355106,0.07471901140000001,-0.1458529629,-0.0963017972,-0.07490303990000001,-0.20789760470000002
opex__nor__2,-1.2143955208000001,-0.1736202597,0.24069279840000002,0.0068616055,-0.4560459683,0.12380330910000001,-0.5210136653,0.3537556381,0.07347207600000001,0.0843868702,0.3384807334,0.1502648366,-0.10652032580000001,-0.0690723906,0.5781882942000001,-0.2365154387
opex__nor__3,-0.5860302944,-0.12792456600000002,-0.0170268126,-0.0195510581,-0.30099971540000003,0.11416146370000001,-0.7385620809,0.1789884027,-0.0538281237,0.0192065048,0.1258637115,0.1473152748,-0.1041063953,0.0350324265,-0.3052308461,-0.22010310260000002
opex__paa_amp__1,1.6488534385,0.7905641387,0.0726453599,-0.023014222900000002,-0.3949758417,0.23262484100000003,-0.7388787854000001,-0.39122252290000004,-0.4409842124,-0.030356139400000003,-0.0247487506,0.1492879506,0.1184859125,-0.10606712300000001,0.1920271402,-0.036099849100000005
opex__paa_amp__2,1.0867130576,0.5262011061,-0.4578781791,-0.1876572891,-0.1532318412,-0.0219620576,-0.1756176385,-0.4839121691,-0.4134267153,0.3935618663,-0.037079518900000004,0.2555301727,0.1094858098,-0.08314191180000001,0.1230563102,0.2201422381
opex__paa_amp__3,1.2563529343,0.6105774371,0.0403580553,-0.0620073046,-0.3008769993,0.1614484475,-0.000764846,-0.1801564748,-0.424914357,-0.19534286180000002,0.0882270576,-0.2626292024,0.1420587981,-0.030255880500000002,-0.2440250968,0.0965136587
opex__paa_kan__1,-4.6806165408,-1.6495391067,-0.8212764042,0.7190900909,0.6609265347000001,-0.2364382355,-0.2228014049,-0.5965342904000001,-0.594086997,0.2131254153,0.5803279798000001,0.20928303550000002,-0.095120274,-0.5907121801,-0.3524476025,-0.119101409
opex__paa_kan__2,-5.2630848396,-1.992211206,-1.295088072,0.5887061862,0.694650891,-0.1423702668,-0.2690442373,-1.2537044739,-0.7312933825,0.1284747063,0.6791953231,0.7921151135000001,0.1384977369,-0.5373274114000001,-0.2004229341,0.1240700847
opex__paa_kan__3,-4.4786671243,-1.6750013363,-1.0467729088,0.7095000117,-0.0193588727,-0.1634562651,-0.44786443130000003,-0.5734512114,-0.43610552280000003,-0.3195785661,0.5561596752,0.1527547149,-0.1783052125,-0.5783336185,-0.3155893482,-0.5155587688000001
opex__paa_nor__1,0.7160412881,0.0560887969,-0.259878977,-0.1574706197,0.6128778113000001,-0.014110153700000001,0.3404735553,-0.8515933655,-0.12343978800000001,0.5691256294,0.084291244,0.6259900642,0.09118408850000001,0.0407122211,-0.0594717009,0.328507046
opex__paa_nor__2,0.7280888754,0.2790527514,0.0887318524,-0.21882918680000002,-0.3036608549,0.12268127050000001,0.2313211896,-0.5539008145000001,-0.0620635811,0.48488167860000003,0.11278972890000001,0.1934783782,0.08472283200000001,-0.0296138498,-0.3544118873,0.1762947142
opex__paa_nor__3,0.0534505767,0.16882805580000002,-0.0416155506,-0.34836482760000004,1.1054077355,-0.0052149305,0.0649113479,-1.357199976,0.0440172922,0.09304547690000001,0.2322655025,0.3649159681,0.206627481,0.0195569859,0.0497576696,0.3503579766
opex__paa_rif__1,-5.5203143968,-1.9714633976,-0.8799595127000001,0.7148997064,0.8072696017000001,-0.27812726320000003,-0.33904164940000003,-0.5348047128,-0.5748630242,-0.0517565589,0.5178009241,0.4957761352,-0.1369350538,-0.7292056332,-0.3297911009,-0.2999140281
opex__paa_rif__2,-5.5319277893,-1.6199691044,-1.0496529193,0.7145323323,0.8117004017,-0.2338669506,-0.7772768061,-0.7057901393,-0.8864099383,0.2649588752,0.4644608819,0.3730965633,-0.1895724205,-0.696285915,-0.4620003091,-0.1434798417
opex__paa_rif__3,-5.7905448219,-2.4426854847,-1.487204865,0.5635495845,0.16247627380000002,-0.47698047050000003,-1.4940509868,-0.3478969196,-1.1034986516,0.0806222862,0.3426896975,-0.0646929734,-0.3332341567,-1.0564224947,-1.1355129992,-0.5482341095000001
opex__phenol_amp__1,-0.007639542000000001,-0.2680551563,-0.1315694232,-0.1934681023,0.7025620929,-0.30114314670000003,0.21392975,-1.5762046086,0.46335444140000004,0.33998264110000004,0.5342408301,-0.43747108690000003,0.0913477689,-0.0794728993,-0.45373145130000003,0.2615455535
opex__phenol_amp__2,-0.3122900141,-0.1284397149,0.6260883358,-0.0119163311,-0.9022165941,-0.21622304450000002,0.1967282254,-0.9833513295,0.6708737657,0.5096991249,0.7401589497000001,0.4829930009,0.0485505211,-0.1805611668,0.5883171215,0.022816547000000003
opex__phenol_amp__3,-0.6131239701,-0.2054015284,-0.11434124990000001,-0.09886101530000001,0.402632708,-0.1830535108,0.3821688183,-1.3579772683,0.5094929199,0.9761112315,0.6890088286,-0.6530226032,0.0476691987,-0.1544384115,0.5555698895,0.14322027310000002
opex__phenol_kan__1,-2.3435591819,-0.8212707558000001,1.1155380704,-0.0130470859,-2.5459817331,-0.4813839992,0.23676730710000002,-0.6637687074,1.5353206121,0.7668256116000001,0.6112149113,-0.009394343500000001,-0.0322835,-0.18919337260000002,-0.176848153,-0.2223309275
opex__phenol_kan__2,-0.23856841880000001,-0.7488814409,0.6861053684,-0.2173782472,-2.8567099554,-0.4213635195,0.0119384177,-0.4445139455,1.3646230624,0.33001180750000003,0.6571561334,-0.22259064790000002,0.0452579731,-0.29911423600000003,-0.0498957135,0.0749752857
opex__phenol_kan__3,-1.3599330773,-0.39432393130000004,-0.9842091869,-0.043269987100000004,-1.0352289711,-0.5806053135,0.2312758952,-1.3394469013,0.6824052133,0.38036764970000003,0.8157744933000001,-0.3969530476,-0.0028410483,-0.163664422,-1.3266534765,0.1732170253
opex__phenol_nor__1,-1.1297164358,-0.7273808897,-0.9509586986,-0.43113473900000004,1.0864092573,-0.1049615713,0.1665159571,-1.90919639,-0.1528102264,0.2825689379,0.6797300794000001,0.2431048721,0.0311654996,-0.1706452057,0.5172867081,0.346582485
opex__phenol_nor__2,0.44951005200000005,-0.23194647510000002,-0.204681827,-0.029401130100000002,-1.0524785469,-0.2751524749,0.1436560422,-0.9738674078,0.567298505,-0.2734077394,0.57718359,0.2551775355,0.0158378806,-0.0065019301,0.6552221128,0.1072366045
opex__phenol_nor__3,-2.0960362909,-0.4620528092,-1.1458729366,-0.6996561232,2.0753183252,-0.25850524350000004,-0.1636048478,-2.4224977851,-0.1754043857,0.5710537913,0.6760759597,0.149880693,0.1099591724,-0.18035648640000002,-0.43203622210000003,0.4683926286
