,A,RplD,ArcA,DksA,Fnr
darobactin__solv_1h__2,0.4190079662,-0.3442674324,1.1574314751,1.2558044858000001,-0.15292812990000001
darobactin__daro_1h__1,-0.0089016851,-0.9740098553000001,1.4462626652,1.9591203298000002,-0.5413516662
darobactin__solv_1h__3,2.1552467868,-0.3752531416,1.1110969728,1.3525184055000001,-0.5255719177
darobactin__daro_1h__2,0.4209833094,-0.6028989453,1.6253534642,1.3568135869,-0.4380107324
darobactin__daro_1h__3,0.11447279760000001,-0.8592520206,1.8081310811,1.7931333343,-0.6924116879000001
darobactin__daro_30m__3,0.3070418956,-0.44729610270000003,0.6906509578000001,1.3270394379,-0.023623925
darobactin__solv_30m__1,-0.411253955,-0.2727157482,0.5383519372000001,0.5451257735,-0.2769247087
darobactin__solv_15m__1,0.033006807,-0.0097261862,-0.0571907372,-0.0054399698000000005,0.022569228400000002
darobactin__solv_15m__2,-0.3282494003,-0.1138961713,0.0891540525,-0.06771607810000001,-0.0149231714
darobactin__daro_15m__1,-0.1353796262,-0.1635114489,-0.0298426128,0.6910315067,-0.059067987700000005
darobactin__solv_15m__3,0.2952425933,0.12362235760000001,-0.0319633153,0.0731560479,-0.007646057
darobactin__daro_15m__2,0.49832917390000003,0.1230030008,-0.0141807849,0.7539144676,-0.3998425611
darobactin__daro_15m__3,1.2790023011,-0.45350226320000003,0.3135263471,0.8719752690000001,-0.2961707172
darobactin__solv_30m__2,-0.050387947,-0.0602265898,0.4040524659,0.3921592205,-0.0197029371
darobactin__solv_30m__3,-0.6626540614,-0.1269712945,0.2721177574,0.5752581469,-0.2057315476
ddp__pNT3_aroP__1,-1.7876728526,-0.7026939147,-1.0589838979,-0.4976246398,0.0648785776
ddp__pNT3_aroP__2,-1.2677248539,0.5983932240000001,-1.4026185694,-0.6301045319,0.1318960147
ddp__pNT3_bamC__1,5.2881839709000005,5.626594556,-2.8410150892,-1.0153603977,-0.18930506100000002
ddp__pNT3_bamC__2,4.3614164019,5.2064710045,-3.2869432385,-1.0102654859,0.048734282000000004
ddp__pNT3_cusA__1,4.989599947,6.3892694405,-3.2950765840000003,-0.9775378066,-0.1222527779
ddp__pNT3_cusA__2,4.2964283375,6.0000845005,-3.4762954288,-1.0109606322,0.2651479138
ddp__pNT3_hemX__1,2.117693702,2.7743578758,-1.155357469,0.0604055833,-0.18178306500000002
ddp__pNT3_hemX__2,1.9008248838,2.6837468433,-1.2439101857,-0.1231129707,-0.0481881923
ddp__pNT3_empty__1,-0.1967753697,-0.3982937406,-0.1153715473,-0.0557768712,0.0035004484000000003
ddp__pNT3_empty__2,0.1967753697,0.3982937406,0.1153715473,0.0557768712,-0.0035004484000000003
ddp__pNT3_topA__1,-0.2645890416,4.9845359732,-1.5590599950000001,-0.9385816944,0.2884841145
ddp__pNT3_topA__2,-0.24839341650000002,5.2796889044,-1.8922621822,-1.2190823401,0.6061379563
ddp__pNT3_yicR__1,0.5041094584,3.7082632556,-0.6513911779,0.0171240584,-0.6059054221
ddp__pNT3_yicR__2,0.952137431,3.9262702738,-1.0179407735,-0.1346256033,-0.4301566023
ddp__pNT3_yqjD__1,-0.9575934862000001,-0.21682047370000002,-0.46426380850000004,0.0713644169,-0.2255559323
ddp__pNT3_yqjD__2,-0.9936691627,0.29420327760000003,-0.6195390422,0.049037484400000005,-0.1661942998
ecomics__del_gabT__1,0.0376722981,-0.1593014077,-0.41795786620000003,-0.1177686584,0.0654297724
ecomics__del_gabT__2,-0.0376722981,0.1593014077,0.41795786620000003,0.1177686584,-0.0654297724
ecomics__del_putP__1,-1.1630977839,-0.07247028100000001,0.2339488295,-0.0163927279,0.0394489063
ecomics__del_putP__2,-1.0327154059,0.2653571657,0.2709119195,0.018817954600000002,0.2651847274
ecomics__del_entF__1,0.1185697347,1.0870018663,0.7109499026,-0.1919939671,-0.1274267449
ecomics__del_entF__2,0.0316387627,0.2793052205,0.8332963912,0.0525180403,-0.0156335277
ecomics__del_entF__3,1.1357197736,0.3914378566,0.8146757537,0.0676128824,-0.0681908374
ecomics__del_cysA__1,2.2075711148,0.6689273635,0.5839121668,0.2127553317,-0.3039509496
ecomics__del_cysA__2,1.7443027999999998,0.6808452075,0.6312221720000001,0.2914922889,-0.18626809560000002
elyC__wt_21C__1,-0.5252907364,-0.06300811590000001,0.3372829208,-0.1422858234,-0.0019092608000000001
elyC__wt_21C__2,-0.5235184006,-0.028491805300000003,0.41080054930000004,-0.1045403523,0.0184901467
elyC__wt_21C__3,-0.4099709781,-0.0580725868,0.3180135734,-0.2193745474,0.0880267361
elyC__wt_37C__1,-0.020064391,-0.039015146300000005,0.08858568750000001,0.11775767100000001,0.0063945471
elyC__wt_37C__2,0.0912636438,0.0559518267,-0.0570708614,-0.05923542700000001,-0.0357761938
elyC__wt_37C__3,-0.0711992529,-0.0169366803,-0.031514826100000004,-0.058522244,0.0293816467
elyC__delelyC_21C__1,-0.33960761700000003,-0.0187338989,0.3130374735,-0.2741667089,0.0098731567
elyC__delelyC_21C__2,-0.35945508540000004,-0.0952030172,0.4191365037,-0.09107528990000001,-0.1897870955
elyC__delelyC_21C__3,-0.3443571707,-0.0597818368,0.3197920426,-0.1707666081,-0.0409235603
elyC__delelyC_37C__1,0.0008974663000000001,-0.0316553632,0.1251290824,0.0344861792,-0.0254851513
elyC__delelyC_37C__2,-0.2128411184,-0.0761148364,0.1037722164,-0.023901396000000002,0.0355440585
elyC__delelyC_37C__3,-0.0631238066,-0.053208197900000004,0.1088100151,0.06657964620000001,0.0057575253
evo_acid_w__F9_2__1,-0.23590838320000002,-0.2411190951,0.1425476608,0.5015645901,-7.3552758056
evo_acid_w__F11_1__1,1.9361778045,0.8417258873,-0.4960096405,0.3446415249,0.7139563072
evo_acid_w__F11_1__2,2.7920014235,0.967593731,-0.3588527667,0.44015193410000003,0.9185294265
evo_acid_w__F11_1__3,1.6346137668,0.7210382038,-0.14995993500000002,0.3505540904,0.7798311562
evo_acid_w__wt__1,1.23900879,0.5956617042,0.5268494525,-0.0993886672,0.0845328856
evo_acid_w__F11_2__1,-0.17915994170000002,-0.1029987368,0.3300483652,0.4953398409,0.196271321
evo_acid_w__B11_2__1,-0.1228314712,-0.5845853085,0.1176002028,0.09390158130000001,-0.21254939720000002
evo_acid_w__F11_2__2,-1.4272150031,-0.2757574305,-0.2104390858,0.2556860586,0.45666608210000004
evo_acid_w__wt__2,0.4059458441,0.5627622495,0.0149251139,0.011383862100000001,0.0023046192
evo_acid_w__B11_1__1,-0.2858202023,-1.3818511676,0.0050649824,0.107962954,0.030882746500000002
evo_acid_w__H9_1__1,6.2377806759,1.700046296,-2.0450412115,-0.1235700659,0.9365946801
evo_acid_w__H9_2__1,0.17261061930000002,0.8962734683,0.2509442296,0.5194622549,0.39447972600000003
evo_acid_w__B11_2__2,-0.0570026058,-0.6872143572,-0.0192003367,0.0257504409,-0.2747681118
evo_acid_w__wt__3,0.3311576405,0.5872094907000001,0.1182597891,0.09934540900000001,0.1197434681
evo_acid_w__H9_2__2,0.7506481592,0.8828442044,0.39856133250000003,0.6278291417,0.4314267907
evo_acid_w__B11_2__3,-0.0942942523,-0.8088347642,-0.13303799560000001,-0.2160023271,-0.2345901954
evo_acid_w__F11_2__3,-1.0039364464,-0.30352034910000003,-0.3410695594,0.3261892031,0.456708999
evo_acid_w__F9_2__2,1.28919041,0.059929011100000006,0.155742511,0.1969705235,-7.8525940196
evo_acid_w__wt__4,-0.7886599386,-0.11745527180000001,0.12230633960000001,0.2496931477,0.2973060844
evo_acid_w__wt__5,-0.1459060684,-0.0770404749,-0.0231116861,0.0389259406,0.3124097697
evo_acid_w__wt__6,-0.6082526343,-0.5378996657,-0.7123728968,-0.3267928466,-0.1751172912
evo_acid_w__H9_1__2,6.2666309487,1.8976893189,-2.0397357955,-0.5096337793,0.9036193136
evo_acid_w__F9_1__1,1.7907408137,0.8698605831,-0.3836625166,-0.1104714708,-7.5369515417
evo_acid_w__F9_1__2,1.6842673747,0.7105728416,-0.4890135682,0.040806368100000004,-7.0361766568
evo_acid_w__B11_1__2,-0.6332787726,-1.0265965018,0.1264931956,0.0308534542,-0.0131986588
evo_acid_w__H9_2__3,0.3520146442,0.4850220209,0.24165958950000002,0.5118717786,0.1964461357
evo_acid_w__wt__7,0.8916301935000001,-0.0565380926,0.6254806809,0.2772923114,0.1707039968
evo_acid_w__F9_1__3,2.5180461078,0.7079265103,-0.3886040764,0.061959939900000004,-7.7499151628
evo_acid_w__F9_2__3,-0.176138959,-0.1124253494,0.11163370210000001,0.48028391730000003,-7.0926670476
evo_acid_w__wt__8,0.2105253332,-0.1728301281,-0.5679767338,-0.17531816960000002,-0.22741367480000002
evo_acid_w__B11_1__3,-0.8430669148000001,-1.116355182,-0.0194579248,-0.10215356960000001,-0.0619256138
evo_acid_w__wt__9,-1.5354491599,-0.7838698114,-0.1043600593,-0.0751409874,-0.5844698577
evo_bz__c3_1_bz__1,2.3828999989,-0.3834632047,-0.38558688100000005,-1.0426623695,1.2617788521
evo_bz__c3_1_bz__2,0.1751686549,0.2917932408,-0.2343390475,-0.9172104533000001,0.013602002200000001
evo_bz__c3_1_bz__3,-0.7847423078,0.202864175,-0.1768228467,-0.9589404609000001,-0.011886655900000001
evo_bz__c3_1_bz__4,-0.6173359355,0.0083373071,-0.1829866169,-0.9699136893,0.0928465604
evo_bz__g5_1_bz__1,1.5486549445,-0.3197305655,-0.1312277256,0.6821682840000001,1.4522089644
evo_bz__g5_1_bz__2,-0.1382424283,0.0048611570000000005,-0.6927357911,-0.2295051056,1.4799556311
evo_bz__g5_1_bz__3,0.37303868700000004,-0.0720715582,-0.05061829700000001,0.4763743509,1.2878835212
evo_bz__g5_1_bz__4,-1.0418306018,0.0361968748,-0.2321428443,0.0637611326,0.5038059594000001
evo_bz__g5_1_bz__5,-1.4865459508,-0.13827146270000001,-0.33308463520000003,0.0016696115,0.360903352
evo_bz__g5_1_bz__6,-1.374278185,-0.0086710619,-0.3163096863,0.0375766219,0.5015165093
evo_bz__w3110d13__1,0.3626361446,-0.5603820647000001,0.1901686705,-0.0558651244,-0.2848580515
evo_bz__w3110d13__2,-0.8397285119000001,-0.24441626760000001,-0.058796187400000005,-0.428071115,-0.061697307900000005
evo_bz__w3110d13__3,-0.019212955,0.4604463272,0.0858430565,0.0662437449,0.1678169173
evo_bz__w3110d13__4,-0.21613297850000002,-0.1612897574,0.0028923649,-0.35422099,-0.3500729039
evo_bz__w3110d13__5,0.4562774281,0.3023823594,-0.1846147007,0.44481159610000004,0.2581440398
evo_bz__w3110d13__6,0.2561608727,0.2032594031,-0.035493203800000005,0.3271018885,0.2706673062
evo_bz__w3110d13_bz__1,-1.3176292151,-0.9495890723,-0.23346584150000002,-1.139456004,0.4075951256
evo_bz__w3110d13_bz__2,-0.1741046969,-0.9509068601,-0.1391940875,-1.2783186335,0.4723477928
evo_bz__w3110d13_bz__3,-0.6275660287,-0.0240052844,0.0132220698,-0.60625405,0.0966315491
evo_bz__w3110d13_bz__4,-1.9013112802,-0.8321619678000001,-0.15327054480000002,-1.3095945597,0.4559032226
evo_bz__c3_1_bz__5,2.7958123066000002,-0.4251070172,-0.40193558090000003,-0.7921610532000001,1.3849591353
evo_bz__c3_1_bz__6,2.9687672362,-0.4900483285,-0.5313746106,-0.9525264833,1.4019401177
evo_bz__g5_2_bz__1,-0.11109639040000001,0.8734028338000001,-0.6203175706,-1.0616114799,0.032233089300000003
evo_bz__g5_2_bz__2,-0.4033223761,0.774073509,-0.6981566933000001,-1.0625621402,-0.0453090219
evo_bz__g5_2_bz__3,-0.6679467328,0.6792042773,-0.7595007277,-0.7642593227000001,0.0014162464
evo_bz__g5_2_bz__4,-0.6829110885,-0.43483979310000004,-0.0372590058,-0.8130317145,0.2852736966
evo_bz__g5_2_bz__5,-0.7940496936,-0.6787392114,0.09376858960000001,-0.8760476227,0.2818975743
evo_bz__g5_2_bz__6,0.0492524486,-0.4349549439,0.0231333739,-1.0628577692,0.9043918405
evo_bz__w3110d13_bz__5,-1.2612040909,-0.1753370393,0.1127304596,-0.5246544367,0.2892210988
evo_bz__w3110d13_bz__6,-0.4419780298,0.0723285524,-0.0380817781,-0.6210895879,0.2841031
evo_bz__a1_1_bz__1,-5.3724646942,-3.9631442762,-0.2157053013,-0.5920773303,-0.4692650607
evo_bz__a1_1_bz__2,-1.7427397963,-1.0909396703,-0.4094781025,-1.3054884885,0.359532976
evo_bz__a1_1_bz__3,-0.33902481840000004,0.2526871598,-0.1995304755,-0.3324373739,1.0300605526
evo_bz__a1_1_bz__4,-2.9543702633,-1.1447316483,-0.4656880963,-1.2226797668,0.06453909170000001
evo_bz__a1_1_bz__5,-0.5494868470000001,0.46703751790000003,-0.0487554939,-0.0775190998,1.0883072748
evo_bz__a1_1_bz__6,-0.9183582199,0.23220591200000001,-0.215019177,-0.3237958805,0.9656259972000001
evo_metab__wt__1,-4.3377366224,-2.7605777175,1.0693941837,0.3427282848,0.1288576417
evo_metab__del_zwf__1,-2.0673328352,-1.3607080394,0.2635843553,0.2367449559,-0.0383819357
evo_metab__zwf_ale1__1,-3.4950622561999998,-1.3220498029,0.9174621933,0.2507964334,0.1318576497
evo_metab__zwf_ale2__1,1.0919263153,0.5721564476000001,-0.1218903694,0.055060948900000004,0.019056687000000003
evo_metab__del_ppk__1,4.5889012076,0.1579588766,-0.8918312391000001,0.104962303,-0.0419896674
evo_metab__ppk_ale1__1,5.1518164614,0.8094331234000001,-0.6881736304,-0.25635132720000003,0.23862317660000001
evo_metab__ppk_ale2__1,-2.5382783595,-2.5178110397999998,0.7699156984000001,1.0072544341,0.1611058857
evo_metab__ppk_ale3__1,-2.5127356313,-2.0732281102,0.9700102006,0.5093732481000001,0.4581252995
evo_metab__del_dapF__1,-4.4103845937,-4.0620749966,1.0384347552,0.6854262050000001,0.3172238424
evo_metab__dapF_ale1__1,-3.1311865234,-2.45675334,1.1285368322,0.4276347334,0.1383090976
evo_metab__dapF_ale3__1,0.6402303602,0.323666187,0.8161619262,0.0131778311,-0.3716839181
evo_metab__del_entC__1,3.9826822764000003,-0.0057372815,-0.0201403201,0.023199864400000002,-0.2415756215
evo_metab__entC_ale1__1,2.3837715886,0.9857764967,-0.10491848840000001,-0.3210199119,-0.15906388330000001
evo_metab__entC_ale2__1,-4.4900656465,-2.4695266228,0.7603654310000001,0.6409436580000001,0.007812727200000001
evo_metab__del_dgk__1,3.136989373,0.7963593722000001,-1.0891380371,-0.2854272121,-0.12566082550000002
evo_metab__dgk_ale1__1,1.1210970641,0.2374636933,-0.8079639627,-0.4961176814,0.0504878854
evo_metab__dgk_ale2__1,-1.7796301397,-0.42009416050000004,-0.6936482731,-0.2480260323,0.5392612067
evo_metab__dgk_ale3__1,2.0438743107,-0.0756538029,0.44997349200000003,-0.0067913343,-0.1771450645
evo_metab__wt__2,3.0001976963,1.6049687929,-0.3344079171,-0.4910638036,-0.0641102801
evo_metab__del_zwf__2,-0.6307371894,-0.0241119891,0.6810912996,0.0034274427,0.4335230942
evo_metab__zwf_ale1__2,2.1982981507,1.5899537912000001,-0.7281520391,-0.1390955043,-0.1511554798
evo_metab__zwf_ale2__2,3.5583179103,1.1232689296,-1.0546255310000001,-0.4206044564,-0.0774772219
evo_metab__del_ppk__2,3.1810727101,1.6822574614999999,-0.8944886509000001,-0.39869372610000003,-0.1502114202
evo_metab__ppk_ale1__2,2.1120903672,1.0915852735,-0.7695802995000001,0.1138636026,0.1315080696
evo_metab__ppk_ale2__2,2.9144175652,0.465650636,-0.5339921031,0.7881709904,-0.0719380109
evo_metab__ppk_ale3__2,3.8970981345,1.2329358918,-0.0834480876,0.0173632347,0.12563758
evo_metab__del_dapF__2,-0.6723293265,-0.4879432206,0.6391570357,-0.060802414400000004,0.9592729955
evo_metab__dapF_ale1__2,-3.0052444795,-0.4780416149,0.9185526292,0.3940083569,0.8334966567000001
evo_metab__dapF_ale3__2,-1.9067377522000002,-0.33780633,0.6901443962,0.18626625830000001,1.0963381317
evo_metab__del_entC__2,3.1433296702,1.0553456524,-0.6312365123,-0.42666711820000003,-0.09922067500000001
evo_metab__entC_ale1__2,2.7975081916,1.5271457466,-0.6568917332,-0.1074701712,-0.1683037611
evo_metab__entC_ale2__2,1.6116580072,1.3590543218,-1.0174438648,-0.0583574189,0.12045115120000001
evo_metab__entC_ale3__1,1.4803786891000001,0.7587789267,-0.6496157627,0.0959928397,-0.10618114270000001
evo_metab__del_dgk__2,2.2863979846999998,1.1839944788,-0.7033841573,-0.3710338677,-0.4606796238
evo_metab__dgk_ale1__2,2.6462369984,1.2198486396,-0.6182618178,-0.0679978442,-0.2463820843
evo_metab__dgk_ale2__2,1.5827121098,0.19497897020000002,-0.5516249936000001,0.0812493841,0.3616560525
evo_metab__dgk_ale3__2,2.9194993344,1.1018054235,-0.7842142551,0.15311633330000002,-1.0284903831
evo_metab__wt__3,1.3375389261000001,1.1556089246,-0.7349862666,0.1483355188,-0.0647473615
evo_metab__del_zwf__3,3.6970851513,1.124493581,-0.31267291070000003,-0.031927159000000004,-0.0761053958
evo_metab__zwf_ale1__3,2.0008189499,0.6876163878,-0.4842923424,0.5433330733,-0.09697300660000001
evo_metab__zwf_ale2__3,2.9263614683,1.7945772326,-1.0148851516,0.025876950200000002,-0.2615945059
evo_metab__del_ppk__3,0.8832615797000001,0.9709216194,-0.6907153027,0.0585218412,-0.162388314
evo_metab__ppk_ale1__3,-0.2514780687,0.6322527903,-0.5100728839,0.5318856237,0.06995235600000001
evo_metab__ppk_ale2__3,3.6373059357,0.8373208027,-0.3755575815,0.4155272198,0.16927389210000002
evo_metab__ppk_ale3__3,2.1452599882,0.7834159705,-0.2196301371,0.7267829454,-0.21989089520000002
evo_metab__del_dapF__3,-0.6275607348000001,-0.7991050293,0.4059186527,0.1285112045,0.8976741623000001
evo_metab__dapF_ale1__3,-2.3517261054,-1.1994423048,0.6795316201,-0.0663886925,0.7015805322
evo_metab__dapF_ale3__3,-0.7731176181,-1.0371030144,0.5180514967000001,0.3151006098,0.8552512050000001
evo_metab__del_entC__3,3.2608514570000002,1.2204227317,-0.5719402797,0.1011225007,-0.3455777802
evo_metab__entC_ale1__3,2.3834417618,0.7666963304000001,-1.1732918553,-0.0228969347,-0.3496650475
evo_metab__entC_ale2__3,0.9973260452,0.4572970791,-0.7755120344,0.3788566384,-0.3209950742
evo_metab__entC_ale3__2,3.4384189079,1.2086028545,-0.5555756714,0.1380742439,0.10337487640000001
evo_metab__del_dgk__3,0.6402516896,1.1359758047,-1.0030252318,0.0135975383,-0.1810282464
evo_metab__dgk_ale1__3,1.392372193,0.4083251204,-0.5831005596000001,0.40587237190000003,-0.1042635281
evo_metab__dgk_ale2__3,-0.4320816222,0.41337776470000004,-0.9335797538,0.307785252,0.17177478340000002
evo_metab__dgk_ale3__3,1.9064882992,-0.0360806482,-0.8369083792,0.7006812517000001,-0.3989806461
flag_reg__wt__1,-0.2198186,-0.0172784848,-0.0588099996,-0.0861895838,0.0
flag_reg__del_fliA__1,4.3952571648,1.3480556839,0.0707141134,0.3238146892,0.1430180401
flag_reg__del_flhC__1,4.8530013834,2.6854892546,0.0792301926,0.501954385,0.0
flag_reg__del_flhD__1,5.5016129701,2.0575906026,0.1165178999,0.5413680199,0.0
flag_reg__wt__2,0.2198186,0.0172784848,0.0588099996,0.0861895838,0.0
flag_reg__del_fliA__2,4.1382799262,1.4535472883,0.1391146988,0.3442088453,0.1810243454
flag_reg__del_flhC__2,2.2595038593,0.4860301206,-0.2406300043,0.2830840719,0.0
flag_reg__del_flhD__2,5.0614278693,2.5576479447000002,0.09393124500000001,0.31441837970000003,0.3016847958
flgM__27C__1,0.6130841315000001,0.6763222884,0.8784288994,1.1981469141,-0.5190136381
flgM__27C__2,0.17577246200000002,0.8483184399,0.7269323781,0.9617881579,-0.3222420219
flgM__27C__3,0.4298474527,0.8758029813,0.7669138366,1.0761117532,-0.4530709885
flgM__32C__1,-0.6803912869000001,0.5199019277,0.3543791704,0.6033525952000001,-0.2782649171
flgM__32C__2,0.5924583649,0.4485559611,0.6126265213000001,0.5177557599,-0.2806686959
flgM__32C__3,0.0481005474,0.4453949022,0.7204335675,0.5610526957,-0.4037237883
flgM__37C__1,0.037267320900000005,0.0968610906,0.0023349412,0.0190447105,-0.0037651177
flgM__37C__2,-0.0963868169,-0.0471552878,0.0138897402,-0.0167180725,-0.0090358951
flgM__37C__3,0.059119496,-0.049705802800000004,-0.0162246814,-0.0023266381000000003,0.0128010128
flgM__42C__1,1.1679313839,-0.1374184454,-0.5224664074,-0.1139451462,-0.093188196
flgM__42C__2,0.9757919713000001,-0.43140733600000003,-0.5060912851,-0.1997242613,-0.0238553789
flgM__42C__3,1.0272194775,-0.7827498929000001,-0.2103690696,-0.3775981285,-0.0313487078
histone__untreated__1,-0.1627840828,-0.0188510053,-0.0026986212,0.0743613391,0.0095465275
histone__untreated__2,0.0291331573,-0.086929639,0.0232666232,-0.1005068908,0.0232059397
histone__untreated__3,0.1336509256,0.1057806443,-0.0205680019,0.0261455518,-0.032752467300000004
histone__10ug_H2A__1,0.025205287200000003,0.1337469259,-0.0248110193,0.10340781210000001,-0.15256787230000002
histone__10ug_H2A__2,0.1698121299,0.0410071817,-0.0365080084,0.0315316082,-0.12441594560000001
histone__10ug_H2A__3,-0.5020046918000001,0.0848268389,0.10535953910000001,0.2131727964,-0.10435943240000001
histone__50ug_H2A__1,-0.6856163301,-0.1427222361,0.2585635182,0.6104244109,-0.4254753164
histone__50ug_H2A__2,-0.5002113371,-0.1798902672,0.303827907,0.6458855377,-0.3196076483
histone__50ug_H2A__3,-0.7687467020000001,0.0459283003,0.24080459610000002,0.6565138607000001,-0.3156598178
histone__100ug_H2A__1,-0.9127405044,-0.10566627810000001,0.2868203253,0.8276039158,-0.5449668212000001
histone__100ug_H2A__2,-0.5196389265,-0.1565343999,0.2959739772,0.8561931512000001,-0.523218044
histone__100ug_H2A__3,-0.9728395005,-0.0638567008,0.24580874260000002,0.8226310021000001,-0.5631612565
hns__del_hns_spike__1,2.3612046118,-0.2004981512,0.9327413782,0.06846300820000001,-1.8529613086
hns__del_hns_spike__2,1.4915824575,-0.1434204906,0.9261506939,-0.5048585431,4.4171410107
hns__del_hns__1,2.5793259833,-0.2189375913,1.0687949022,0.057877084,-1.9114182228
hns__del_hns__2,1.6898646289,-0.1030573129,0.5925125441,-0.5422150764,4.1511978614
hns__wt_spike__1,1.3486221469,-0.034055618600000004,0.191028469,-0.1484310345,-1.9114182228
hns__wt_spike__2,1.9959221205,-0.26016501070000003,0.0868822129,0.3043590927,1.5058805974
hns__wt__1,0.7887853219000001,0.2115902514,0.12093167490000001,-0.1170804226,-1.8065297164
hns__wt__2,-0.7887853219000001,-0.2115902514,-0.12093167490000001,0.1170804226,1.8065297164
hns_stpA__evo100G4_delhns_delstpA__1,4.5807245056,2.4194532873,-1.0591036869,-0.2638576983,-1.6696986845000001
hns_stpA__evo100G4_delhns_delstpA__2,4.1019629359,1.6951684182,-1.0120794948,-0.4127710824,-1.4652493593
hns_stpA__evo100G12_delhns_delstpA__1,2.1754360278,2.3350541719,-1.4965225604,-1.4294975841,-0.35889479760000004
hns_stpA__evo100G12_delhns_delstpA__2,1.2449718847,1.3091264161,-1.193941523,-1.2901987352,-0.8014556473000001
hns_stpA__delhns_delstpA_delrpoS__1,0.9163386816,0.0439275244,-1.4967474998,-2.4607235254,-0.8388314320000001
hns_stpA__delhns_delstpA_delrpoS__2,4.2301262161,2.8326004285,-1.8797889081,-2.1626817049,-0.4152274681
hns_stpA__wt__1,-0.6483892977,-0.057954373,0.0614368063,0.058993369600000005,0.1043733763
hns_stpA__wt__2,0.6483892977,0.057954373,-0.0614368063,-0.058993369600000005,-0.1043733763
hns_stpA__delhns_delstpA__1,4.9908655243,2.0576676375,-1.2240719898,-1.2043720085,-1.5472205910999999
hns_stpA__delhns_delstpA__2,4.3579471018,2.5176715503000002,-0.9646090827,-1.0030115669,-1.5531352302
hu__wt_log_pH7__1,-0.2642855488,-1.3069457119,-2.3862196642,1.3730350564,-0.19100837710000002
hu__wt_log_pH7__2,0.3876268378,0.8408331656,-1.2660276597,1.093095781,0.7087330881
hu__wt_log_pH7__3,-0.5549549501000001,-0.9062575021,-2.3724224758,0.9309803722000001,0.34349852080000004
hu__wt_lag_pH7__1,-0.41162918390000003,0.0377640309,0.011139977700000001,-0.40904221350000003,0.1536742525
hu__wt_lag_pH7__2,-0.2944844605,-0.18602943560000001,-0.2115586693,-0.7230018094,-0.0322767413
hu__wt_lag_pH7__3,0.7061136444,0.1482654047,0.2004186917,1.132044023,-0.1213975112
hu__delhupA_lag_pH7__1,-0.42587606450000004,0.4253801641,0.2432724134,0.7212907246,0.21202446060000002
hu__delhupA_lag_pH7__2,0.6084244508000001,0.3707897329,-0.25783494830000003,0.232643008,0.5987173526
hu__delhupA_lag_pH7__3,0.4251931936,0.7533634204,0.27401214690000003,1.3474372136000001,-0.1807484194
hu__delhupB_lag_pH7__1,-0.0574898483,0.2069850788,0.043676152100000004,-0.3803001304,0.1036303247
hu__delhupB_lag_pH7__2,0.35607849620000004,0.24708311060000002,-0.2864002101,-0.5832884081,0.0875729346
hu__delhupB_lag_pH7__3,0.933695457,0.40604224520000004,-0.1341877166,1.5479567936,-0.3900321698
hu__delhupAhupB_lag_pH7__1,0.11749204,0.8180115750000001,-0.5771907675,1.3991117273,-0.5681724135
hu__delhupAhupB_lag_pH7__2,0.2170347765,0.9045441904,-0.5073577501000001,0.23977434930000002,0.019754427
hu__delhupAhupB_lag_pH7__3,2.0629459832,0.6611040610000001,-0.7561764232,1.8278457465,0.27332833030000003
hu__hupAE34K_hupB_lag_pH7__1,-1.2231484292,0.013353023200000001,-0.139486361,-0.6892603243000001,-0.0690832475
hu__hupAE34K_hupB_lag_pH7__2,0.24995778770000002,0.5390198448,-0.7649544516,-0.6501959321,0.6704954660000001
hu__hupAE34K_hupB_lag_pH7__3,0.5381879562,0.4315387913,-0.2798375699,0.5784791775,-0.2908193112
hu__hupAE34K_delhupB_lag_pH7__1,-0.6677675694,-0.0693601888,-0.3225539216,-0.4049387384,-0.2406689964
hu__hupAE34K_delhupB_lag_pH7__2,-0.4470143158,0.3961754075,-0.3566598492,-0.8823834504,0.14526903260000001
hu__hupAE34K_delhupB_lag_pH7__3,0.31298120900000004,0.38982725630000004,-0.16903673660000001,0.9443380087000001,-0.21581755660000002
hu__wt_lag_pH5__1,0.5011155783,0.0438556845,-1.0507190625,-0.5932866450000001,0.5535835338
hu__wt_lag_pH5__2,0.7914013411,0.4506678897,-1.3019793658,-0.7581349198,1.2081234349
hu__wt_lag_pH5__3,1.26917159,0.1361963796,-1.200284001,0.3160843168,0.8957372423000001
hu__delhupA_lag_pH5__1,0.5568550603,-0.0328905647,-0.692848533,-0.4562509826,0.6569229851
hu__delhupA_lag_pH5__2,0.5136795934,0.5867578324,-0.721131519,-0.7538521799,0.6167569178
hu__delhupA_lag_pH5__3,1.4048732949,0.4577521532,-1.1946762861,0.18290475790000002,0.8316677062000001
hu__delhupAhupB_lag_pH5__1,0.8652503607,0.17302056600000001,-1.1387573988,-0.5575266830000001,0.1999734554
hu__delhupAhupB_lag_pH5__2,0.6297122503,0.7352415157000001,-1.0754994254,-0.5880696659,0.2197027038
hu__delhupAhupB_lag_pH5__3,1.8474980767,0.3821371226,-1.1412931212,0.6665196614000001,0.25218964180000003
hu__hupAE34K_hupB_lag_pH5__1,0.7077410696,0.0309535407,-1.3610413978,-0.6483506995,0.5340236142
hu__hupAE34K_hupB_lag_pH5__2,1.8064257248,0.4890872114,-1.2445931649,0.3249828327,1.0834013949
