,A,Zur,ZntR,CueR
SRX5694332,0.7796448968,-0.3043244679,-0.08239302820000001,-0.0374479277
SRX5694334,0.1562092491,-0.4081329325,-0.6360486667,0.41329879080000004
SRX5694335,3.0676377111,-1.6988486027,1.3396124251,0.369075107
SRX5694336,2.0665845059,-1.4807788548,-0.2113112529,-1.0090553936
SRX5694337,-1.1758583736000001,-0.7410432257,0.09356247370000001,-0.5678397465
SRX5694338,-1.4792427785,0.2066133142,-0.5370276070000001,-0.6584655666
SRX5694339,1.0621988121000001,0.3874163411,-0.8113665756,0.17116936060000001
SRX5694340,-3.0408544814,0.015114956,-1.3901890507,-1.0229064592
SRX5694341,-0.26666837400000004,-0.7007747750000001,0.49257471280000004,0.2201622014
SRX5694342,2.2950540234,-0.619743098,0.5999042769,-0.2076080038
SRX5694343,2.2929139523,0.30203103000000003,0.7623657347,0.7751449759
SRX5694344,1.0062964997,-0.15906757770000002,-0.1713500534,0.5174260641
SRX5694345,1.5938893645,-0.1588392583,-0.327939488,0.19530236
SRX5694346,2.0684580016,-0.4324764307,0.435709289,-0.12348959150000001
SRX5694347,1.4186018321,-0.065121131,-0.17542883080000002,0.1486815554
SRX5694348,-2.119570294,0.11119214790000001,-0.7596633399,-0.8388136151000001
SRX5694349,-1.5293413225,-0.0137941039,-1.7125197184,-1.3783237371000001
SRX5694350,2.2945291726,-1.3722458622,1.7083309074000002,-0.8674009614
SRX5694351,1.9008879955,-0.7824675489,-0.23084140620000002,0.719117432
SRX5694352,1.9312232585,-0.7592924600000001,-0.6153702477,-1.3729209945
SRX5694353,0.5914517209,0.45299585400000003,-0.6890691576,0.35056633600000003
SRX5694354,-1.7780023656,0.0146535827,-1.6238378213,-1.2110073237
SRX5694356,0.6733326261,0.4777078199,-0.8023144111,0.3462409732
SRX5694357,1.9814715489,-0.8313264678000001,1.4304939814,0.5196615576
SRX5694358,0.7143945162,-2.0738012823,-3.5731971016,-1.4774137233
SRX5694359,-2.6329807871,-0.1100881451,-2.2666463424,-0.8522829318
SRX5694360,-1.1185250173,-0.0362154853,-1.0995732814,-0.3583210129
SRX5694361,0.6259307976,1.5177043077999999,-0.3417453627,2.7130340168
SRX5694362,-0.0513176798,1.3232500521000001,-2.3238135264,0.644757766
SRX5694363,-0.0157846252,-0.0747166474,0.5858024643,0.5437306986
SRX5694364,-0.9882868213,-0.2807799367,-1.2307346373999999,-1.7388443376
SRX5694365,-2.8243154968,0.9151376773000001,-0.6242695432,0.8857336674
SRX5694366,0.9669329279000001,0.41354575920000003,-1.0619779832,-0.005861268
SRX5694367,1.3386036209,-1.5675970703000002,0.13397059020000002,0.4408906488
SRX5694368,-0.6359879684,0.09652586440000001,-0.17320528400000001,-0.0007054199000000001
SRX5694369,-0.6135602490000001,0.1576196383,-0.20240087180000002,-0.31016926380000004
SRX5694370,-0.7360477142,0.13248842730000002,-0.0971057314,-0.2626369485
SRX5694371,1.1440109529,-0.916387508,-0.8867779663,-0.7674292433000001
SRX5694372,-1.9214980533000001,-0.2272437066,-1.4603560779,-0.8683917005
SRX5694373,1.9927440022,-1.3459734567,1.4535125539,-0.2975747589
SRX5694374,2.7004318323,-2.4360278466,-1.953428176,-1.3725314422000001
SRX5694375,-0.3889732173,-0.1304638677,-0.4313303536,-0.49812614990000004
SRX5694376,-0.0555132397,1.2015103438999999,-0.5583387254000001,0.3653911193
