,A,NsrR
cstr_pfr__str_1560m__1,-1.1102187586,0.3099455068
cstr_pfr__str_1680m__1,-1.1383411076,0.1754134333
cstr_pfr__str_ref1__1,0.0757457655,0.0861252247
cstr_pfr__str_ref2__1,0.12240191900000001,0.051285194400000005
cstr_pfr__str_ref3__1,-0.11389970420000001,0.1632409991
cstr_pfr__pfr_P5_0005m__1,0.3955614524,0.20964091140000002
cstr_pfr__pfr_P5_0010m__1,0.0286189666,0.1458938308
cstr_pfr__pfr_P5_0025m__1,0.1885580973,0.2989504609
cstr_pfr__pfr_P3_0025m__1,0.2122181387,0.0861961895
cstr_pfr__pfr_P1_0025m__1,-0.2591620073,0.12131735810000001
cstr_pfr__pfr_P5_0045m__1,-0.0190415239,0.4022938882
cstr_pfr__pfr_P5_0120m__1,0.28261160490000004,0.26354042
cstr_pfr__pfr_P3_0120m__1,-0.4550280318,0.050299581600000004
cstr_pfr__pfr_P1_0120m__1,0.024079368,0.4647606958
cstr_pfr__pfr_P5_0210m__1,0.6328136749000001,0.2427176912
cstr_pfr__pfr_P5_1500m__1,-0.6372976061,0.052357450300000004
cstr_pfr__pfr_P3_1680m__1,-0.6025818556,0.1151215062
cstr_pfr__pfr_P5_1680m__1,-0.4583785678,0.3353513174
cstr_pfr__pfr_P1_1680m__1,-0.9300335122000001,-0.0362951953
cstr_pfr__str_0005m__2,0.2905344139,-0.0325070311
cstr_pfr__str_0010m__2,-0.1950431403,-0.063032883
cstr_pfr__str_0025m__2,-0.2504955251,-0.06682675440000001
cstr_pfr__str_0045m__2,-0.2255854323,-0.1532390039
cstr_pfr__str_0075m__2,-0.2947873613,-0.0394048178
cstr_pfr__str_0120m__2,-0.8436189353,0.0180952521
cstr_pfr__str_0210m__2,-0.7897850679,0.1341658357
cstr_pfr__str_0330m__2,-0.6390916192,0.1191674464
cstr_pfr__str_1500m__2,-0.8329358130000001,0.2604516029
cstr_pfr__str_1560m__2,-0.9917647426,0.17308698320000002
cstr_pfr__str_1680m__2,-0.44500392990000004,0.08742960500000001
cstr_pfr__str_ref1__2,-0.0757457655,-0.0861252247
cstr_pfr__str_ref2__2,-0.3188178635,-0.0809196405
cstr_pfr__str_ref3__2,-0.30786665280000003,-0.2039101559
cstr_pfr__pfr_P5_0005m__2,0.8552761958,0.2616309247
cstr_pfr__pfr_P5_0010m__2,0.3738894209,0.2796994776
cstr_pfr__pfr_P5_0025m__2,-0.1156071535,0.1718554789
cstr_pfr__pfr_P3_0025m__2,-0.2082537922,-0.21035440930000002
cstr_pfr__pfr_P1_0025m__2,-0.5972826951,-0.2656642671
cstr_pfr__pfr_P5_0045m__2,-0.16424928020000001,0.8209072976
cstr_pfr__pfr_P5_0120m__2,-0.2185132129,0.3227060141
cstr_pfr__pfr_P3_0120m__2,-0.8011852499000001,-0.025773641400000002
cstr_pfr__pfr_P1_0120m__2,-0.6338284589000001,-0.09550898370000001
cstr_pfr__pfr_P5_0210m__2,-0.4353815844,0.3676751144
cstr_pfr__pfr_P5_1500m__2,-0.43672169400000005,0.0591632147
cstr_pfr__pfr_P3_1680m__2,-0.3247964989,0.2982852596
cstr_pfr__pfr_P5_1680m__2,-0.5762336046000001,0.2162180111
cstr_pfr__pfr_P1_1680m__2,-0.6673695474,0.0044017851000000005
darobactin__daro_30m__1,0.30257623980000004,0.3814607164
darobactin__daro_30m__2,0.0984407712,0.1471397895
darobactin__solv_1h__1,1.2468683085,0.1397730943
darobactin__solv_1h__2,0.3616541809,-0.0746941759
darobactin__daro_1h__1,1.780204949,-0.2542391988
darobactin__solv_1h__3,-0.460381342,0.2838140415
darobactin__daro_1h__2,0.3436588007,-0.0796210542
darobactin__daro_1h__3,1.158887724,-0.09417184120000001
darobactin__daro_30m__3,0.1108457622,0.0507603598
darobactin__solv_30m__1,0.3025650831,0.47977481730000004
darobactin__solv_15m__1,0.5674269961,0.3473824541
darobactin__solv_15m__2,-0.37800197100000005,-0.21331106130000002
darobactin__daro_15m__1,-1.7227552899,-0.4846666383
darobactin__solv_15m__3,-0.1894250251,-0.1340713928
darobactin__daro_15m__2,-0.7343383476,-0.3938400214
darobactin__daro_15m__3,0.0061570531000000005,0.8986640862
darobactin__solv_30m__2,0.6962323495,-0.4239771277
darobactin__solv_30m__3,-0.3019146583,-0.1056407256
ddp__pNT3_aroP__1,2.0526945503,0.6041303341
ddp__pNT3_aroP__2,1.5247200996,0.49387613
ddp__pNT3_bamC__1,0.1533400452,-0.7777426957
ddp__pNT3_bamC__2,-0.3778707691,-0.7883138616
ddp__pNT3_cusA__1,0.0442911753,-0.6361934935
ddp__pNT3_cusA__2,0.39744755660000003,-0.4492528737
ddp__pNT3_hemX__1,0.9676997463,-0.5938069768
ddp__pNT3_hemX__2,0.4876597059,-0.1997714102
ddp__pNT3_empty__1,0.6650079645,0.07365259290000001
ddp__pNT3_empty__2,-0.6650079645,-0.07365259290000001
ddp__pNT3_topA__1,0.8129473672,-0.6223455817
ddp__pNT3_topA__2,0.3151117183,-0.3486269543
ddp__pNT3_yicR__1,-0.2920822736,-0.4517572509
ddp__pNT3_yicR__2,-0.8072946417,-0.0645055345
ddp__pNT3_yqjD__1,1.0321014081,0.1256955665
ddp__pNT3_yqjD__2,0.5496446137000001,-0.044847679200000004
ecomics__del_gabT__1,0.5447619878000001,0.37171365640000004
ecomics__del_gabT__2,-0.5447619878000001,-0.37171365640000004
ecomics__del_putP__1,2.0421825084,0.2516250107
ecomics__del_putP__2,2.1600481982,-0.0502091652
ecomics__del_entF__1,1.9508652937000002,-0.1949248896
ecomics__del_entF__2,-0.4188504604,-0.5609236446
ecomics__del_entF__3,2.7867122257,0.09681794490000001
ecomics__del_cysA__1,0.09562329130000001,-0.1545319467
ecomics__del_cysA__2,1.8392073949,-0.4828409323
elyC__wt_21C__1,-0.1563682237,0.5811406851
elyC__wt_21C__2,-0.224433705,-0.49473832110000004
elyC__wt_21C__3,0.0976097903,0.2062965279
elyC__wt_37C__1,0.0167324195,-0.2945547429
elyC__wt_37C__2,-0.0064298892,-0.0163629034
elyC__wt_37C__3,-0.0103025303,0.3109176462
elyC__delelyC_21C__1,-0.3083797411,0.10365957290000001
elyC__delelyC_21C__2,-0.5885393853,-0.10364524130000001
elyC__delelyC_21C__3,-0.33168290500000003,0.0038747471
elyC__delelyC_37C__1,0.12987156160000002,0.1136798227
elyC__delelyC_37C__2,-0.1378860321,0.5138517716000001
elyC__delelyC_37C__3,-0.0029640888,0.1934066582
evo_acid_w__F9_2__1,12.1549745978,-0.18613088390000002
evo_acid_w__F11_1__1,13.6070924128,1.3296898836
evo_acid_w__F11_1__2,8.6396185159,0.8250562817
evo_acid_w__F11_1__3,9.4954132719,1.0979316284
evo_acid_w__wt__1,1.4122847438,0.226624344
evo_acid_w__F11_2__1,0.6955925037,0.6615675415000001
evo_acid_w__B11_2__1,0.7104743827000001,-0.1022161122
evo_acid_w__F11_2__2,-0.0779812123,0.5892355341000001
evo_acid_w__wt__2,1.6900451007,0.1982315771
evo_acid_w__B11_1__1,-1.2855390001,0.0028042708
evo_acid_w__H9_1__1,2.8481728236,2.0893148108
evo_acid_w__H9_2__1,-1.2148264252,0.8993496320000001
evo_acid_w__B11_2__2,1.1286773989,-0.1517816146
evo_acid_w__wt__3,1.6476162012,1.1160385506
evo_acid_w__H9_2__2,-1.1214859118,0.7674001576
evo_acid_w__B11_2__3,1.0299408324,0.0526044036
evo_acid_w__F11_2__3,0.0176932039,0.9155406418
evo_acid_w__F9_2__2,11.8848505051,-0.48623510950000004
evo_acid_w__wt__4,-1.5674121709,-0.6348230281
evo_acid_w__wt__5,-0.9503038324,-0.39634687550000003
evo_acid_w__wt__6,-0.501872514,-0.0243333793
evo_acid_w__H9_1__2,2.8794073468,2.1109008771
evo_acid_w__F9_1__1,11.6848182863,0.6276319538
evo_acid_w__F9_1__2,12.5051850703,0.6713501013000001
evo_acid_w__B11_1__2,-1.8731164632000001,0.8523983725000001
evo_acid_w__H9_2__3,-1.6215086842000002,0.34039324060000004
evo_acid_w__wt__7,-1.330218753,-0.7414122944
evo_acid_w__F9_1__3,11.5071743124,0.5710750695
evo_acid_w__F9_2__3,12.1709054896,-0.2991907797
evo_acid_w__wt__8,0.2297508539,-0.3047897093
evo_acid_w__B11_1__3,-1.4599642845,-0.0124013403
evo_acid_w__wt__9,-0.6298896294,0.5608108149000001
evo_bz__c3_1_bz__1,-5.046622889,0.5942359564
evo_bz__c3_1_bz__2,-2.1030186465,-0.1245315766
evo_bz__c3_1_bz__3,-3.5926248912,-0.030172697300000002
evo_bz__c3_1_bz__4,-3.9272081101,-0.1644923222
evo_bz__g5_1_bz__1,-5.3248810748,-0.0460913751
evo_bz__g5_1_bz__2,-5.0973787416,0.33003308470000003
evo_bz__g5_1_bz__3,-4.7076247769,0.36457337360000003
evo_bz__g5_1_bz__4,-3.6141682634,0.8098357931
evo_bz__g5_1_bz__5,-4.0120344601,0.7305692998000001
evo_bz__g5_1_bz__6,-4.1217922322,0.7761694088000001
evo_bz__w3110d13__1,0.6166979267,-0.846044458
evo_bz__w3110d13__2,4.1620891592,-0.372385242
evo_bz__w3110d13__3,-2.603320886,0.31248325730000004
evo_bz__w3110d13__4,1.5499734253000002,-0.5445018444
evo_bz__w3110d13__5,-1.6363356983,0.7902117197
evo_bz__w3110d13__6,-2.089103927,0.6602365674
evo_bz__w3110d13_bz__1,-4.1139880223,-0.4581856702
evo_bz__w3110d13_bz__2,-4.877033365,-0.9147130480000001
evo_bz__w3110d13_bz__3,-1.3590574498999999,0.3016565095
evo_bz__w3110d13_bz__4,-4.0594491753,-0.4771605546
evo_bz__c3_1_bz__5,-4.0299829244,0.6670545027
evo_bz__c3_1_bz__6,-4.9618143606,0.5258201787
evo_bz__g5_2_bz__1,-3.5138207472,0.0404710001
evo_bz__g5_2_bz__2,-3.3033607364,0.4809443243
evo_bz__g5_2_bz__3,-2.9039306549,0.5929344308
evo_bz__g5_2_bz__4,-4.9441153214,0.2205234492
evo_bz__g5_2_bz__5,-4.923929771,0.19868631080000002
evo_bz__g5_2_bz__6,-5.326726016,0.3460095168
evo_bz__w3110d13_bz__5,-1.1335906454,0.6801877376000001
evo_bz__w3110d13_bz__6,-1.8590500090000002,0.256258072
evo_bz__a1_1_bz__1,-3.9758963257,0.9574061164000001
evo_bz__a1_1_bz__2,-4.3719137117,0.41967742750000003
evo_bz__a1_1_bz__3,-1.8632182494,0.7450621015000001
evo_bz__a1_1_bz__4,-4.3975808022,0.6690197444
evo_bz__a1_1_bz__5,-3.4211695046,0.6068164872
evo_bz__a1_1_bz__6,-1.974655312,0.9646037935
evo_metab__wt__1,0.880717688,0.24788255050000002
evo_metab__del_zwf__1,0.0894310175,0.5065051705
evo_metab__zwf_ale1__1,-0.1871118012,0.4339218985
evo_metab__zwf_ale2__1,1.257062739,-0.1210040971
evo_metab__del_ppk__1,-0.3106871128,-1.0880271917
evo_metab__ppk_ale1__1,-0.6543006669,-0.35129095860000004
evo_metab__ppk_ale2__1,0.1953819931,0.15466836650000002
evo_metab__ppk_ale3__1,0.10031416600000001,0.2143145273
evo_metab__del_dapF__1,1.0902788033,-0.1941829478
evo_metab__dapF_ale1__1,0.5911400099,0.0311051354
evo_metab__dapF_ale3__1,-0.3568572271,-0.2017862401
evo_metab__del_entC__1,-0.1636177135,-0.9620841701
evo_metab__entC_ale1__1,-0.3525370654,-0.2567550563
evo_metab__entC_ale2__1,0.2353093535,0.9167437927000001
evo_metab__del_dgk__1,0.1229162788,-0.6328866646
evo_metab__dgk_ale1__1,0.13871317600000002,0.2292743505
evo_metab__dgk_ale2__1,1.1361505552,0.10447316470000001
evo_metab__dgk_ale3__1,0.9866699052000001,-0.7730269515
evo_metab__wt__2,-0.44423323680000004,-0.46301471400000005
evo_metab__del_zwf__2,0.5888538266000001,0.0262514251
evo_metab__zwf_ale1__2,0.2798082591,0.442181023
evo_metab__zwf_ale2__2,0.9320234229000001,0.1792923035
evo_metab__del_ppk__2,-0.9154587492,-0.0375100525
evo_metab__ppk_ale1__2,0.2956192031,0.8183289659
evo_metab__ppk_ale2__2,-1.1544989167,0.22469471670000002
evo_metab__ppk_ale3__2,-1.1294377645,-0.0295298449
evo_metab__del_dapF__2,0.6924531269,-0.43217025950000004
evo_metab__dapF_ale1__2,1.0635532654,0.200182244
evo_metab__dapF_ale3__2,0.5893031522000001,-0.0759466691
evo_metab__del_entC__2,-0.9329066574,-0.2240542117
evo_metab__entC_ale1__2,-0.1705633067,-0.11915530440000001
evo_metab__entC_ale2__2,0.1394219179,0.029960486
evo_metab__entC_ale3__1,-0.4937967795,0.6855568582
evo_metab__del_dgk__2,0.3704779067,-0.0762659867
evo_metab__dgk_ale1__2,-0.10901882160000001,0.5497377008000001
evo_metab__dgk_ale2__2,0.7036202682,0.30806763330000003
evo_metab__dgk_ale3__2,0.95632067,0.040879341900000005
evo_metab__wt__3,-0.4364844512,0.2151321635
evo_metab__del_zwf__3,-0.8392495538,-0.4557070568
evo_metab__zwf_ale1__3,-0.397777523,0.4262639039
evo_metab__zwf_ale2__3,0.2144890492,-0.3237409941
evo_metab__del_ppk__3,-0.1614385038,-0.1789970784
evo_metab__ppk_ale1__3,-0.7250982570000001,0.24458331300000002
evo_metab__ppk_ale2__3,-0.5663042123,0.3239525515
evo_metab__ppk_ale3__3,-0.8017850626,0.4459143665
evo_metab__del_dapF__3,0.3108866407,0.2356969076
evo_metab__dapF_ale1__3,0.9730743028000001,-0.10828211330000001
evo_metab__dapF_ale3__3,0.11380156350000001,0.2362392532
evo_metab__del_entC__3,-0.5509398652,-0.052448439900000005
evo_metab__entC_ale1__3,0.056721682100000004,0.6187871959
evo_metab__entC_ale2__3,-0.8803154449,0.3985994148
evo_metab__entC_ale3__2,-0.8674834718000001,0.5320604129000001
evo_metab__del_dgk__3,-0.4053694498,0.630731626
evo_metab__dgk_ale1__3,-0.7997878565000001,0.6165331108000001
evo_metab__dgk_ale2__3,-0.7982678824,0.3899798151
evo_metab__dgk_ale3__3,0.2974316529,0.3861344011
flag_reg__wt__1,-0.0015379708,0.1399367847
flag_reg__del_fliA__1,-0.1203577361,0.0160050285
flag_reg__del_flhC__1,-0.1024274854,0.20888672330000002
flag_reg__del_flhD__1,0.4320665698,-0.8130742400000001
flag_reg__wt__2,0.0015379708,-0.1399367847
flag_reg__del_fliA__2,0.2374556392,0.2973885684
flag_reg__del_flhC__2,0.0345579335,0.20747302920000002
flag_reg__del_flhD__2,-0.0992960789,0.0902071198
flgM__27C__1,0.0581568042,-1.5516898515
flgM__27C__2,0.225306051,-1.05576917
flgM__27C__3,0.1244645986,-1.3089360815
flgM__32C__1,-1.7073859966,-0.0964146589
flgM__32C__2,0.19393529310000002,-0.0618128324
flgM__32C__3,-0.3388706548,-0.3315715877
flgM__37C__1,0.073708485,-0.0324648393
flgM__37C__2,0.0246250964,0.0664368521
flgM__37C__3,-0.09833358140000001,-0.0339720129
flgM__42C__1,-0.9024499474000001,0.035895943300000004
flgM__42C__2,-0.9915866441000001,0.07707910920000001
flgM__42C__3,-0.2184615746,0.6128021437
histone__untreated__1,0.0485392081,-0.3475869696
histone__untreated__2,-0.1951139197,0.6581669747000001
histone__untreated__3,0.14657471160000002,-0.3105800051
histone__10ug_H2A__1,0.07027390630000001,-0.1425936107
histone__10ug_H2A__2,-0.6022018933000001,0.3478894513
histone__10ug_H2A__3,0.35969769090000003,-0.5834951661000001
histone__50ug_H2A__1,0.0722471638,-0.641808495
histone__50ug_H2A__2,0.1512569537,-0.8017131486
histone__50ug_H2A__3,0.48167069830000003,-0.5875976195
histone__100ug_H2A__1,0.0142904673,-0.7418026364
histone__100ug_H2A__2,0.19092004110000002,-0.6829843005
histone__100ug_H2A__3,-0.038104381900000005,-0.5650903567000001
hns__del_hns_spike__1,-1.6795938893,0.47650053330000003
hns__del_hns_spike__2,-0.4877162923,1.3787814458
hns__del_hns__1,-2.0609454255,0.5237255552
hns__del_hns__2,-0.9004526718,1.0587072573
hns__wt_spike__1,-0.21874679560000002,0.3342252618
hns__wt_spike__2,-0.2256208163,0.1730432664
hns__wt__1,-0.0657156338,0.33273427250000004
hns__wt__2,0.0657156338,-0.33273427250000004
hns_stpA__evo100G4_delhns_delstpA__1,-2.6805318185,-0.31795450140000003
hns_stpA__evo100G4_delhns_delstpA__2,-3.020668961,-0.5505409642
hns_stpA__evo100G12_delhns_delstpA__1,-1.3554722030000002,-1.6395133685
hns_stpA__evo100G12_delhns_delstpA__2,-0.9873628544,-2.0552039252
hns_stpA__delhns_delstpA_delrpoS__1,-0.2919079383,-1.4884683986
hns_stpA__delhns_delstpA_delrpoS__2,-1.2501128302,-1.9888476517
hns_stpA__wt__1,0.23006554510000002,-0.044610406400000004
hns_stpA__wt__2,-0.23006554510000002,0.044610406400000004
hns_stpA__delhns_delstpA__1,0.2887946199,-1.8871041238
hns_stpA__delhns_delstpA__2,0.4553121619,-1.8474141748
hu__wt_log_pH7__1,-0.1280695985,-1.5955163286
hu__wt_log_pH7__2,0.00047753650000000004,-0.7133700037
hu__wt_log_pH7__3,0.7148812302,-0.9091177674
hu__wt_lag_pH7__1,0.08451952110000001,0.2166776125
hu__wt_lag_pH7__2,-0.24088845490000002,0.2142641499
hu__wt_lag_pH7__3,0.1563689338,-0.43094176240000004
hu__delhupA_lag_pH7__1,-0.31356432770000003,0.47505832340000004
hu__delhupA_lag_pH7__2,-0.7939242139,0.6445714214
hu__delhupA_lag_pH7__3,0.0651020336,-0.6882563951
hu__delhupB_lag_pH7__1,0.1279690774,0.303824621
hu__delhupB_lag_pH7__2,-0.034225622000000004,0.4199546837
hu__delhupB_lag_pH7__3,0.5239230064,-0.7918112459000001
hu__delhupAhupB_lag_pH7__1,-2.1480314148,-0.2064785294
hu__delhupAhupB_lag_pH7__2,-2.0318610532,0.19875444020000002
hu__delhupAhupB_lag_pH7__3,-2.3190027225,-0.7986501170000001
hu__hupAE34K_hupB_lag_pH7__1,0.2003704326,0.1856045502
hu__hupAE34K_hupB_lag_pH7__2,0.0110259035,0.42060773020000003
hu__hupAE34K_hupB_lag_pH7__3,0.5515210621000001,-0.4483052094
hu__hupAE34K_delhupB_lag_pH7__1,0.21671394100000002,-0.0025819788000000002
hu__hupAE34K_delhupB_lag_pH7__2,-0.0520840277,0.1807043012
hu__hupAE34K_delhupB_lag_pH7__3,0.41728319680000003,-0.4413990944
hu__wt_lag_pH5__1,3.2920276876,-0.8071034476000001
hu__wt_lag_pH5__2,0.2921193096,-0.2587073086
hu__wt_lag_pH5__3,-0.6018824159,-0.47935783540000004
hu__delhupA_lag_pH5__1,0.750241051,-0.3853689131
hu__delhupA_lag_pH5__2,1.7302337160999999,-0.25607189750000003
hu__delhupA_lag_pH5__3,-0.6267850013,-0.8612122763000001
hu__delhupAhupB_lag_pH5__1,-1.4767309963000002,-0.1316322674
hu__delhupAhupB_lag_pH5__2,-1.8528910128,-0.0849951064
hu__delhupAhupB_lag_pH5__3,-2.653357677,-0.9203780720000001
hu__hupAE34K_hupB_lag_pH5__1,2.5923597076,-0.8879512583
hu__hupAE34K_hupB_lag_pH5__2,0.5952968327,-1.9395953923
hu__hupAE34K_hupB_lag_pH5__3,-0.4952515807,-0.853103362
hu__hupAE34K_delhupB_lag_pH5__1,0.4453066659,-2.0750664672
hu__hupAE34K_delhupB_lag_pH5__2,1.8071967708,-0.4959014168
hu__hupAE34K_delhupB_lag_pH5__3,-0.5078050651,-0.9154666490000001
hyperpersistence__low_GFP__1,1.9337077658,2.4974621586
hyperpersistence__wt__1,0.10239970400000001,0.056783838600000004
hyperpersistence__high_GFP__1,4.8662377777,3.5001485204
hyperpersistence__pth_mut__1,2.0738132521,0.7702152468
hyperpersistence__pth_mut__2,2.7928703822000003,1.045183252
hyperpersistence__metG_mut__1,6.5262386213,0.4673395328
hyperpersistence__metG_mut__2,5.8980590182,0.5865915778
hyperpersistence__high_GFP__2,4.3894960244,3.2115214889
hyperpersistence__wt__2,-0.10239970400000001,-0.056783838600000004
hyperpersistence__low_GFP__2,1.74152087,2.7992526776
kan_efg__cpxAF218Y__1,0.3429923674,0.5726293509
kan_efg__cpxAF218Y__2,0.4315608554,0.9749454312
kan_efg__cyaAN600Y__1,2.4449015428,1.0357844523
kan_efg__cyaAN600Y__2,3.547514215,0.1918131009
kan_efg__fusAA608E__1,-1.0983253371,1.1038561369
kan_efg__fusAA608E__2,-0.2139725064,1.0201592171
kan_efg__fusAA608E_cpxAF218Y__1,-0.4602312847,1.2419933946000001
kan_efg__fusAA608E_cpxAF218Y__2,-0.4973496429,1.3503493389
kan_efg__fusAA608E_cyaAN600Y__1,0.8176955172,1.3382076975000001
kan_efg__fusAA608E_cyaAN600Y__2,1.2001406329,1.3538958114000001
kan_efg__fusAA608E_rpoDL261Q__1,-0.026794791300000002,1.1420954199
kan_efg__fusAA608E_rpoDL261Q__2,-1.5494268675,1.7348959518
kan_efg__fusAA608E_topAS180L__1,-0.3349545513,1.4537998517
kan_efg__fusAA608E_topAS180L__2,-0.3148431072,1.726108236
kan_efg__rpoDL261Q__1,-0.5909293439000001,1.0065278475
kan_efg__rpoDL261Q__2,-0.090831199,1.1855405091
kan_efg__wt__1,-0.4534071537,-0.1961563542
kan_efg__wt__2,0.4534071537,0.1961563542
lrp__wt_min_log__1,0.0001910473,-0.0515895356
lrp__wt_min_log__2,-0.0001910473,0.0515895356
lrp__wt_min_trans__1,4.5713000299,1.3090593839
lrp__wt_min_trans__2,5.0857239837,1.4658003038
lrp__wt_min_stat__1,1.9567320861000002,0.7648579523
lrp__wt_min_stat__2,2.8507399649,0.45591726190000004
lrp__wt_liv_log__1,-0.0211590941,-0.1236085108
lrp__wt_liv_log__2,0.29314568010000003,-0.186265979
lrp__wt_liv_trans__1,1.614645747,0.0702121977
lrp__wt_liv_trans__2,1.6784959763,-0.7287774446
lrp__wt_liv_stat__1,2.2176970173,0.9649979204
lrp__wt_liv_stat__2,2.2768108525,1.002290419
lrp__wt_rich_log__1,2.232939023,0.0036463988
lrp__wt_rich_log__2,2.0761395383,0.135700425
lrp__wt_rich_trans__1,5.5011593811,0.1657994424
lrp__wt_rich_trans__2,5.2109561305,0.4030909687
lrp__wt_rich_stat__1,1.2361996066,0.5790295558
lrp__wt_rich_stat__2,0.9362318772,0.8332215900000001
lrp__dellrp_min_log__1,0.013697669,-0.5271645603
lrp__dellrp_min_log__2,0.078906508,-0.5368352537000001
lrp__dellrp_min_trans__1,3.0158510976,0.6059355872000001
lrp__dellrp_min_trans__2,2.6258635065,0.8190399118
lrp__dellrp_min_stat__1,2.7930709548,0.4581265278
lrp__dellrp_min_stat__2,2.2349304678,0.3985368083
lrp__dellrp_liv_log__1,0.15379140330000002,-0.1346230007
lrp__dellrp_liv_log__2,-0.030045289000000003,-0.07511410980000001
lrp__dellrp_liv_trans__1,2.1806972487,0.0381839568
lrp__dellrp_liv_trans__2,2.2964966567,-0.2364188204
lrp__dellrp_liv_stat__1,2.7935032857,0.407646496
lrp__dellrp_liv_stat__2,2.742594156,0.7927902429
lrp__dellrp_rich_log__1,1.9517488641,0.0199683992
lrp__dellrp_rich_log__2,1.4803806393,0.0383274783
lrp__dellrp_rich_trans__1,3.0659064425,0.5696272652000001
lrp__dellrp_rich_trans__2,3.3167451354,0.9054220354
lrp__dellrp_rich_stat__1,3.5990261592,0.7583036473
lrp__dellrp_rich_stat__2,2.9805769663,0.8405461971
mazF_circuit__t0__1,0.0079177932,-0.10737766060000001
mazF_circuit__t2__1,1.7563417022,0.6114167192000001
mazF_circuit__t4__1,-0.5686266819,0.6232606605000001
mazF_circuit__t6__1,0.4969702776,1.2181312051
mazF_circuit__t8__1,-1.761978271,1.4322879893
mazF_circuit__t0__2,-0.0079177932,0.10737766060000001
mazF_circuit__t2__2,2.0326866804,0.46160384200000004
mazF_circuit__t4__2,2.3858108931,0.7767115647
mazF_circuit__t6__2,1.4087898234,1.1459530917
mazF_circuit__t8__2,1.6834124878,1.7594913248
mazF_ribo__emptyvec_mrna_5m__1,-0.2673335577,-0.2108393324
mazF_ribo__emptyvec_mrna_5m__2,0.2673335577,0.2108393324
mazF_ribo__mazF_mrna_5m__1,-0.07983027940000001,1.4401758023
mazF_ribo__mazF_mrna_5m__2,-0.0328952379,1.3436867236
mazF_ribo__emptyvec_total_5m__1,0.5997695637,-0.6768406117
mazF_ribo__emptyvec_total_5m__2,-1.8432991360000002,-1.7825088104
mazF_ribo__mazF_total_60m__1,-2.1389691782,1.6423772885
mazF_ribo__mazF_total_60m__2,-2.0742324135,1.9838576693
mercury__ctrl_t00__1,0.6385347293,-0.7653162910000001
mercury__ctrl_t10__1,1.1644099618000001,0.3324445475
mercury__ctrl_t30__1,1.0724596521,0.1388916925
mercury__ctrl_t60__1,1.3518043743,0.5286852769
mercury__hg_t10__1,2.1379041261,0.8423571572
mercury__hg_t30__1,2.1555059377,1.1636156149
mercury__hg_t60__1,1.0024931936,0.5603932757
mercury__pma_t10__1,2.3135688143,1.3820655194
mercury__pma_t30__1,1.2302738009,2.1152537913
mercury__pma_t60__1,0.7121738151,0.1762496514
mercury__ctrl_t00__2,-0.4043863818,0.08778581590000001
mercury__ctrl_t10__2,1.0165639163,0.1446628461
mercury__ctrl_t30__2,1.7438490348,0.5677015573
mercury__ctrl_t60__2,1.8897227171000002,0.43442406180000004
mercury__hg_t10__2,1.2919497512,0.6454658829000001
mercury__hg_t30__2,1.6847357567999999,1.8128216475
mercury__hg_t60__2,0.8185031958000001,0.2575551278
mercury__pma_t10__2,1.9305343737,1.1893310846
mercury__pma_t30__2,0.48800634600000004,1.258241031
mercury__pma_t60__2,0.8566922659,0.25188898930000003
mercury__ctrl_t00__3,-0.23414834750000002,0.6775304752
mercury__ctrl_t10__3,0.8463118384,0.2136836454
mercury__ctrl_t30__3,1.1990827089,0.9931276723
mercury__ctrl_t60__3,1.1015144196,0.3789710237
mercury__hg_t10__3,2.2267272801,0.8696177181
mercury__hg_t30__3,2.7330492506,0.6378695414000001
mercury__hg_t60__3,0.8091963937000001,0.1559818672
mercury__pma_t10__3,1.6266935749,1.0625113835
mercury__pma_t30__3,0.8627649146,1.0503455254
mercury__pma_t60__3,1.4673230601,0.2460650959
ml_abx__az_lolcde__1,-1.1102081035,0.3194394023
ml_abx__az_lolcde__2,-1.4498371122,0.0764181354
ml_abx__az_lolcde__3,-1.8722885316000002,0.5169209451
ml_abx__b01__1,-0.0675458353,0.058720868600000004
ml_abx__b01__2,-0.7460569691000001,-0.2040224453
ml_abx__b01__3,-1.5338743619000001,-0.4275522208
ml_abx__cro__1,-0.9386908123000001,0.21562811580000002
ml_abx__cro__2,-1.1694885297,-0.32047032200000003
ml_abx__cro__3,-0.6176542116,-0.6328105218
ml_abx__chl__1,-1.9826499394,0.9677256817000001
ml_abx__chl__2,-0.5247684241,1.0246493792
ml_abx__chl__3,0.2353148719,1.5790150473
ml_abx__cip__1,-1.0313794795,0.011878822800000001
ml_abx__cip__2,-1.8127619501,-0.16822292090000002
ml_abx__cip__3,-1.0672692664,-0.0165291542
ml_abx__clr__1,-3.2706972261000002,3.0870172327
ml_abx__clr__2,-2.1591055046,2.1692333662
ml_abx__clr__3,-1.172038275,2.1834464794
ml_abx__cst__1,-0.616877177,0.48350506
ml_abx__cst__2,-0.3616496602,-0.0014482557
ml_abx__cst__3,-0.7902935472,-0.25881734100000003
ml_abx__ctrl__1,-0.2514761365,0.2178489815
ml_abx__ctrl__2,-0.5264888148,0.2892328758
ml_abx__ctrl__3,-0.5183704701,-0.37861318120000004
ml_abx__ctrl__4,0.006632207,-0.0265545935
ml_abx__ctrl__5,0.83484589,-0.054561123
ml_abx__ctrl__6,0.45485732440000004,-0.0473529597
ml_abx__dox__1,-3.6125854552,2.3892624639
